ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),50216,Children severely stunted,15.4,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HA3,104236010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CNNUTSCHA3,GHDHS1993408001,1993,DHS,169,169,,,1
GHA,Central,4446595,Children severely stunted,11.7,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HA3,104236010,I,408002,1408020,Region,Central,0,,0,1,CNNUTSCHA3,GHDHS1993408002,1993,DHS,196,196,,,1
GHA,Greater Accra,2094243,Children severely stunted,7.8,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HA3,104236010,I,408003,1408030,Region,Greater Accra,0,,0,1,CNNUTSCHA3,GHDHS1993408003,1993,DHS,180,180,,,1
GHA,Volta (pre 2022),5209024,Children severely stunted,8.9,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HA3,104236010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNNUTSCHA3,GHDHS1993408004,1993,DHS,191,191,,,1
GHA,Eastern,5662541,Children severely stunted,13,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HA3,104236010,I,408005,1408050,Region,Eastern,0,,0,1,CNNUTSCHA3,GHDHS1993408005,1993,DHS,200,200,,,1
GHA,Ashanti,4267264,Children severely stunted,13.6,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HA3,104236010,I,408006,1408060,Region,Ashanti,0,,0,1,CNNUTSCHA3,GHDHS1993408006,1993,DHS,324,324,,,1
GHA,Brong-Ahafo,6413840,Children severely stunted,12.4,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HA3,104236010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CNNUTSCHA3,GHDHS1993408007,1993,DHS,185,185,,,1
GHA,"Northern, Upper West, Upper East",5514575,Children severely stunted,16.8,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HA3,104236010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CNNUTSCHA3,GHDHS1993408008,1993,DHS,374,374,,,
GHA,Northern (pre 2022),5605187,Children severely stunted,20.1,1,GH,Ghana,1993,GH1993DHS,CN_NUTS_C_HA3,104236010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,CNNUTSCHA3,GHDHS1993408009,1993,DHS,179,179,,,1
