ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),7901774,Children who had a birth certificate,52.9,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_CRT,220906010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CPBREGCCRT,GHDHS2008408001,2008,DHS,535,535,,,1
GHA,Central,4465704,Children who had a birth certificate,44.6,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_CRT,220906010,I,408002,1408020,Region,Central,0,,0,1,CPBREGCCRT,GHDHS2008408002,2008,DHS,576,450,,,1
GHA,Greater Accra,7573958,Children who had a birth certificate,76.2,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_CRT,220906010,I,408003,1408030,Region,Greater Accra,0,,0,1,CPBREGCCRT,GHDHS2008408003,2008,DHS,684,578,,,1
GHA,Volta (pre 2022),4995377,Children who had a birth certificate,51.3,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_CRT,220906010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CPBREGCCRT,GHDHS2008408004,2008,DHS,478,485,,,1
GHA,Eastern,3711605,Children who had a birth certificate,48,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_CRT,220906010,I,408005,1408050,Region,Eastern,0,,0,1,CPBREGCCRT,GHDHS2008408005,2008,DHS,521,520,,,1
GHA,Ashanti,6678802,Children who had a birth certificate,57.9,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_CRT,220906010,I,408006,1408060,Region,Ashanti,0,,0,1,CPBREGCCRT,GHDHS2008408006,2008,DHS,1059,874,,,1
GHA,Brong-Ahafo,6449916,Children who had a birth certificate,51.1,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_CRT,220906010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CPBREGCCRT,GHDHS2008408007,2008,DHS,615,602,,,1
GHA,"Northern, Upper West, Upper East",2212314,Children who had a birth certificate,54.1,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_CRT,220906010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CPBREGCCRT,GHDHS2008408008,2008,DHS,1365,2129,,,
GHA,Northern (pre 2022),2633095,Children who had a birth certificate,47.8,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_CRT,220906010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,CPBREGCCRT,GHDHS2008408009,2008,DHS,882,1023,,,1
GHA,Upper West,1858179,Children who had a birth certificate,59.3,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_CRT,220906010,I,408010,1408100,Region,..Upper West,0,,0,1,CPBREGCCRT,GHDHS2008408010,2008,DHS,166,618,,,1
GHA,Upper East,5428619,Children who had a birth certificate,69.1,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_CRT,220906010,I,408011,1408110,Region,..Upper East,0,,0,1,CPBREGCCRT,GHDHS2008408011,2008,DHS,317,488,,,1
GHA,Western (pre 2022),7901773,Children who did not have a birth certificate but were registered,12.5,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_NCT,220906020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CPBREGCNCT,GHDHS2008408001,2008,DHS,535,535,,,1
GHA,Central,4465703,Children who did not have a birth certificate but were registered,22,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_NCT,220906020,I,408002,1408020,Region,Central,0,,0,1,CPBREGCNCT,GHDHS2008408002,2008,DHS,576,450,,,1
GHA,Greater Accra,7573941,Children who did not have a birth certificate but were registered,8.8,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_NCT,220906020,I,408003,1408030,Region,Greater Accra,0,,0,1,CPBREGCNCT,GHDHS2008408003,2008,DHS,684,578,,,1
GHA,Volta (pre 2022),4995376,Children who did not have a birth certificate but were registered,6.7,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_NCT,220906020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CPBREGCNCT,GHDHS2008408004,2008,DHS,478,485,,,1
GHA,Eastern,3711604,Children who did not have a birth certificate but were registered,28.1,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_NCT,220906020,I,408005,1408050,Region,Eastern,0,,0,1,CPBREGCNCT,GHDHS2008408005,2008,DHS,521,520,,,1
GHA,Ashanti,6678804,Children who did not have a birth certificate but were registered,16.9,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_NCT,220906020,I,408006,1408060,Region,Ashanti,0,,0,1,CPBREGCNCT,GHDHS2008408006,2008,DHS,1059,874,,,1
GHA,Brong-Ahafo,6449918,Children who did not have a birth certificate but were registered,20.5,1,GH,Ghana,2008,GH2008DHS,CP_BREG_C_NCT,220906020,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CPBREGCNCT,GHDHS2008408007,2008,DHS,615,602,,,1
