ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),1842631,Population using an improved water source,40.2,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_P_IMP,250162010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,WSSRCEPIMP,GHDHS1993408001,1993,DHS,1902,1902,,,1
GHA,Central,2506379,Population using an improved water source,61.3,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_P_IMP,250162010,I,408002,1408020,Region,Central,0,,0,1,WSSRCEPIMP,GHDHS1993408002,1993,DHS,2311,2311,,,1
GHA,Greater Accra,1567109,Population using an improved water source,90.3,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_P_IMP,250162010,I,408003,1408030,Region,Greater Accra,0,,0,1,WSSRCEPIMP,GHDHS1993408003,1993,DHS,2430,2430,,,1
GHA,Volta (pre 2022),6227695,Population using an improved water source,40.8,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_P_IMP,250162010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,WSSRCEPIMP,GHDHS1993408004,1993,DHS,2390,2390,,,1
GHA,Eastern,1855583,Population using an improved water source,38.7,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_P_IMP,250162010,I,408005,1408050,Region,Eastern,0,,0,1,WSSRCEPIMP,GHDHS1993408005,1993,DHS,2657,2657,,,1
GHA,Ashanti,5986901,Population using an improved water source,56.1,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_P_IMP,250162010,I,408006,1408060,Region,Ashanti,0,,0,1,WSSRCEPIMP,GHDHS1993408006,1993,DHS,3479,3479,,,1
GHA,Brong-Ahafo,5160183,Population using an improved water source,43.2,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_P_IMP,250162010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,WSSRCEPIMP,GHDHS1993408007,1993,DHS,2152,2152,,,1
GHA,"Northern, Upper West, Upper East",4052208,Population using an improved water source,50,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_P_IMP,250162010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,WSSRCEPIMP,GHDHS1993408008,1993,DHS,4579,4579,,,
GHA,Northern (pre 2022),3290226,Population using an improved water source,30.7,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_P_IMP,250162010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,WSSRCEPIMP,GHDHS1993408009,1993,DHS,2299,2299,,,1
GHA,Upper West,3933199,Population using an improved water source,62.4,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_P_IMP,250162010,I,408010,1408100,Region,..Upper West,0,,0,1,WSSRCEPIMP,GHDHS1993408010,1993,DHS,816,816,,,1
GHA,Upper East,3506059,Population using an improved water source,73.5,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_P_IMP,250162010,I,408011,1408110,Region,..Upper East,0,,0,1,WSSRCEPIMP,GHDHS1993408011,1993,DHS,1464,1464,,,1
