ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),505209,Total fertility rate 15-49,6.4,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FEFRTRWTFR,GHDHS1988408001,1988,DHS,,,,,1
GHA,Central,511026,Total fertility rate 15-49,6.6,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408002,1408020,Region,Central,0,,0,1,FEFRTRWTFR,GHDHS1988408002,1988,DHS,,,,,1
GHA,Greater Accra,505260,Total fertility rate 15-49,4.7,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408003,1408030,Region,Greater Accra,0,,0,1,FEFRTRWTFR,GHDHS1988408003,1988,DHS,,,,,1
GHA,Volta (pre 2022),517365,Total fertility rate 15-49,7.2,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FEFRTRWTFR,GHDHS1988408004,1988,DHS,,,,,1
GHA,Eastern,517409,Total fertility rate 15-49,6,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408005,1408050,Region,Eastern,0,,0,1,FEFRTRWTFR,GHDHS1988408005,1988,DHS,,,,,1
GHA,Ashanti,517347,Total fertility rate 15-49,6.3,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408006,1408060,Region,Ashanti,0,,0,1,FEFRTRWTFR,GHDHS1988408006,1988,DHS,,,,,1
GHA,Brong-Ahafo,517333,Total fertility rate 15-49,7.6,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FEFRTRWTFR,GHDHS1988408007,1988,DHS,,,,,1
GHA,"Northern, Upper West, Upper East",505215,Total fertility rate 15-49,6.9,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,FEFRTRWTFR,GHDHS1988408008,1988,DHS,,,,,1
GHA,Western (pre 2022),5806023,Married women currently using any method of contraception,8.2,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_ANY,32633010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FPCUSMWANY,GHDHS1988408001,1988,DHS,279,279,,,1
GHA,Central,5584887,Married women currently using any method of contraception,9.7,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_ANY,32633010,I,408002,1408020,Region,Central,0,,0,1,FPCUSMWANY,GHDHS1988408002,1988,DHS,329,329,,,1
GHA,Greater Accra,296714,Married women currently using any method of contraception,27.2,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_ANY,32633010,I,408003,1408030,Region,Greater Accra,0,,0,1,FPCUSMWANY,GHDHS1988408003,1988,DHS,360,360,,,1
GHA,Volta (pre 2022),4697190,Married women currently using any method of contraception,14.6,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_ANY,32633010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FPCUSMWANY,GHDHS1988408004,1988,DHS,356,356,,,1
GHA,Eastern,1453863,Married women currently using any method of contraception,11.4,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_ANY,32633010,I,408005,1408050,Region,Eastern,0,,0,1,FPCUSMWANY,GHDHS1988408005,1988,DHS,448,448,,,1
GHA,Ashanti,5795991,Married women currently using any method of contraception,10.1,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_ANY,32633010,I,408006,1408060,Region,Ashanti,0,,0,1,FPCUSMWANY,GHDHS1988408006,1988,DHS,552,552,,,1
GHA,Brong-Ahafo,4029349,Married women currently using any method of contraception,12,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_ANY,32633010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FPCUSMWANY,GHDHS1988408007,1988,DHS,401,401,,,1
GHA,"Northern, Upper West, Upper East",296695,Married women currently using any method of contraception,10.7,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_ANY,32633010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,FPCUSMWANY,GHDHS1988408008,1988,DHS,431,431,,,1
GHA,Western (pre 2022),5806024,Married women currently using any modern method of contraception,3.2,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_MOD,32633020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FPCUSMWMOD,GHDHS1988408001,1988,DHS,279,279,,,1
GHA,Central,5584888,Married women currently using any modern method of contraception,4.9,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_MOD,32633020,I,408002,1408020,Region,Central,0,,0,1,FPCUSMWMOD,GHDHS1988408002,1988,DHS,329,329,,,1
GHA,Greater Accra,296715,Married women currently using any modern method of contraception,10.6,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_MOD,32633020,I,408003,1408030,Region,Greater Accra,0,,0,1,FPCUSMWMOD,GHDHS1988408003,1988,DHS,360,360,,,1
GHA,Volta (pre 2022),4697191,Married women currently using any modern method of contraception,3.9,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_MOD,32633020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FPCUSMWMOD,GHDHS1988408004,1988,DHS,356,356,,,1
GHA,Eastern,1453864,Married women currently using any modern method of contraception,5.8,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_MOD,32633020,I,408005,1408050,Region,Eastern,0,,0,1,FPCUSMWMOD,GHDHS1988408005,1988,DHS,448,448,,,1
GHA,Ashanti,5795992,Married women currently using any modern method of contraception,6.5,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_MOD,32633020,I,408006,1408060,Region,Ashanti,0,,0,1,FPCUSMWMOD,GHDHS1988408006,1988,DHS,552,552,,,1
GHA,Brong-Ahafo,4029350,Married women currently using any modern method of contraception,5.2,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_MOD,32633020,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FPCUSMWMOD,GHDHS1988408007,1988,DHS,401,401,,,1
GHA,"Northern, Upper West, Upper East",296701,Married women currently using any modern method of contraception,0.7,1,GH,Ghana,1988,GH1988DHS,FP_CUSM_W_MOD,32633020,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,FPCUSMWMOD,GHDHS1988408008,1988,DHS,431,431,,,1
GHA,Western (pre 2022),140883,Median age at first marriage [Women]: 25-49,18,1,GH,Ghana,1988,GH1988DHS,MA_AAFM_W_M2B,41633090,I,408001,1408010,Region,Western (pre 2022),0,,0,1,MAAAFMWM2B,GHDHS1988408001,1988,DHS,,,,,1
GHA,Central,131614,Median age at first marriage [Women]: 25-49,18.3,1,GH,Ghana,1988,GH1988DHS,MA_AAFM_W_M2B,41633090,I,408002,1408020,Region,Central,0,,0,1,MAAAFMWM2B,GHDHS1988408002,1988,DHS,,,,,1
GHA,Greater Accra,140940,Median age at first marriage [Women]: 25-49,18.8,1,GH,Ghana,1988,GH1988DHS,MA_AAFM_W_M2B,41633090,I,408003,1408030,Region,Greater Accra,0,,0,1,MAAAFMWM2B,GHDHS1988408003,1988,DHS,,,,,1
GHA,Volta (pre 2022),122689,Median age at first marriage [Women]: 25-49,18.7,1,GH,Ghana,1988,GH1988DHS,MA_AAFM_W_M2B,41633090,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,MAAAFMWM2B,GHDHS1988408004,1988,DHS,,,,,1
GHA,Eastern,122672,Median age at first marriage [Women]: 25-49,18.4,1,GH,Ghana,1988,GH1988DHS,MA_AAFM_W_M2B,41633090,I,408005,1408050,Region,Eastern,0,,0,1,MAAAFMWM2B,GHDHS1988408005,1988,DHS,,,,,1
GHA,Ashanti,122670,Median age at first marriage [Women]: 25-49,17.5,1,GH,Ghana,1988,GH1988DHS,MA_AAFM_W_M2B,41633090,I,408006,1408060,Region,Ashanti,0,,0,1,MAAAFMWM2B,GHDHS1988408006,1988,DHS,,,,,1
GHA,Brong-Ahafo,122648,Median age at first marriage [Women]: 25-49,18,1,GH,Ghana,1988,GH1988DHS,MA_AAFM_W_M2B,41633090,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,MAAAFMWM2B,GHDHS1988408007,1988,DHS,,,,,1
GHA,"Northern, Upper West, Upper East",140894,Median age at first marriage [Women]: 25-49,17.8,1,GH,Ghana,1988,GH1988DHS,MA_AAFM_W_M2B,41633090,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,MAAAFMWM2B,GHDHS1988408008,1988,DHS,,,,,1
GHA,Western (pre 2022),7677232,Infant mortality rate,74,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408001,1408010,Region,Western (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408001,1988,DHS,,,58,89,1
GHA,Central,486433,Infant mortality rate,139,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408002,1408020,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408002,1988,DHS,,,114,163,1
GHA,Greater Accra,7748671,Infant mortality rate,58,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408003,1408030,Region,Greater Accra,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408003,1988,DHS,,,43,73,1
GHA,Volta (pre 2022),491732,Infant mortality rate,74,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408004,1408040,Region,Volta (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408004,1988,DHS,,,45,104,1
GHA,Eastern,7487689,Infant mortality rate,70,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408005,1408050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408005,1988,DHS,,,52,87,1
GHA,Ashanti,7662145,Infant mortality rate,70,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408006,1408060,Region,Ashanti,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408006,1988,DHS,,,55,84,1
GHA,Brong-Ahafo,7459770,Infant mortality rate,65,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408007,1408070,Region,Brong-Ahafo,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408007,1988,DHS,,,48,81,1
GHA,"Northern, Upper West, Upper East",7716846,Infant mortality rate,102,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408008,1408080,Region,"Northern, Upper West, Upper East",14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408008,1988,DHS,,,78,126,1
GHA,Western (pre 2022),7501983,Under-five mortality rate,148,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408001,1408010,Region,Western (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408001,1988,DHS,,,122,174,1
GHA,Central,7705859,Under-five mortality rate,210,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408002,1408020,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408002,1988,DHS,,,173,247,1
GHA,Greater Accra,7462454,Under-five mortality rate,104,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_U5M,63206050,I,408003,1408030,Region,Greater Accra,14003,Ten years preceding the survey,0,1,CMECMRCU5M,GHDHS1988408003,1988,DHS,,,75,133,1
