ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),5834632,Children with diarrhea,23.5,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408001,1408010,Region,Western (pre 2022),14000,Three years preceding the survey,0,0,CHDIARCDIA,GHDHS1988408001,1988,DHS,213,213,,,1
GHA,Western (pre 2022),7817268,Children with diarrhea,18.6,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408001,1408010,Region,Western (pre 2022),14001,Five years preceding the survey,0,1,CHDIARCDIA,GHDHS1988408001,1988,DHS,328,328,,,1
GHA,Central,2725262,Children with diarrhea,41.3,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408002,1408020,Region,Central,14000,Three years preceding the survey,0,0,CHDIARCDIA,GHDHS1988408002,1988,DHS,240,240,,,1
GHA,Central,7214621,Children with diarrhea,30.4,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408002,1408020,Region,Central,14001,Five years preceding the survey,0,1,CHDIARCDIA,GHDHS1988408002,1988,DHS,392,392,,,1
GHA,Greater Accra,6888094,Children with diarrhea,38,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408003,1408030,Region,Greater Accra,14000,Three years preceding the survey,0,0,CHDIARCDIA,GHDHS1988408003,1988,DHS,229,229,,,1
GHA,Greater Accra,2797367,Children with diarrhea,28.6,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408003,1408030,Region,Greater Accra,14001,Five years preceding the survey,0,1,CHDIARCDIA,GHDHS1988408003,1988,DHS,370,370,,,1
GHA,Volta (pre 2022),1513298,Children with diarrhea,26.4,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408004,1408040,Region,Volta (pre 2022),14000,Three years preceding the survey,0,0,CHDIARCDIA,GHDHS1988408004,1988,DHS,288,288,,,1
GHA,Volta (pre 2022),5251770,Children with diarrhea,23.7,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408004,1408040,Region,Volta (pre 2022),14001,Five years preceding the survey,0,1,CHDIARCDIA,GHDHS1988408004,1988,DHS,455,455,,,1
GHA,Eastern,4060026,Children with diarrhea,33.1,1,GH,Ghana,1988,GH1988DHS,CH_DIAR_C_DIA,94066010,I,408005,1408050,Region,Eastern,14000,Three years preceding the survey,0,0,CHDIARCDIA,GHDHS1988408005,1988,DHS,354,354,,,1
