ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),7210235,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women],54.7,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_CRE,135303010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,HAAATTWCRE,GHDHS2003408001,2003,DHS,552,522,,,1
GHA,Central,1404963,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women],50.6,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_CRE,135303010,I,408002,1408020,Region,Central,0,,0,1,HAAATTWCRE,GHDHS2003408002,2003,DHS,431,352,,,1
GHA,Greater Accra,3507373,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women],73.2,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_CRE,135303010,I,408003,1408030,Region,Greater Accra,0,,0,1,HAAATTWCRE,GHDHS2003408003,2003,DHS,937,830,,,1
GHA,Volta (pre 2022),5179272,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women],46.2,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_CRE,135303010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,HAAATTWCRE,GHDHS2003408004,2003,DHS,491,441,,,1
GHA,Eastern,4421228,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women],64,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_CRE,135303010,I,408005,1408050,Region,Eastern,0,,0,1,HAAATTWCRE,GHDHS2003408005,2003,DHS,595,501,,,1
GHA,Ashanti,387956,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women],75.4,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_CRE,135303010,I,408006,1408060,Region,Ashanti,0,,0,1,HAAATTWCRE,GHDHS2003408006,2003,DHS,1139,924,,,1
GHA,Brong-Ahafo,7445219,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women],84.7,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_CRE,135303010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,HAAATTWCRE,GHDHS2003408007,2003,DHS,566,635,,,1
GHA,"Northern, Upper West, Upper East",5849584,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women],76.5,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_CRE,135303010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,HAAATTWCRE,GHDHS2003408008,2003,DHS,886,1362,,,
GHA,Northern (pre 2022),4264973,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women],65.1,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_CRE,135303010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,HAAATTWCRE,GHDHS2003408009,2003,DHS,437,532,,,1
GHA,Upper West,6177635,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women],89.6,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_CRE,135303010,I,408010,1408100,Region,..Upper West,0,,0,1,HAAATTWCRE,GHDHS2003408010,2003,DHS,146,443,,,1
GHA,Upper East,4789224,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women],86.6,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_CRE,135303010,I,408011,1408110,Region,..Upper East,0,,0,1,HAAATTWCRE,GHDHS2003408011,2003,DHS,303,387,,,1
GHA,Western (pre 2022),7210236,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women],30.5,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_VEG,135303020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,HAAATTWVEG,GHDHS2003408001,2003,DHS,552,522,,,1
GHA,Central,1404964,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women],20.2,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_VEG,135303020,I,408002,1408020,Region,Central,0,,0,1,HAAATTWVEG,GHDHS2003408002,2003,DHS,431,352,,,1
GHA,Greater Accra,3507374,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women],37.2,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_VEG,135303020,I,408003,1408030,Region,Greater Accra,0,,0,1,HAAATTWVEG,GHDHS2003408003,2003,DHS,937,830,,,1
GHA,Volta (pre 2022),5179283,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women],31.9,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_VEG,135303020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,HAAATTWVEG,GHDHS2003408004,2003,DHS,491,441,,,1
GHA,Eastern,4421229,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women],25.8,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_VEG,135303020,I,408005,1408050,Region,Eastern,0,,0,1,HAAATTWVEG,GHDHS2003408005,2003,DHS,595,501,,,1
GHA,Ashanti,387975,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women],27.8,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_VEG,135303020,I,408006,1408060,Region,Ashanti,0,,0,1,HAAATTWVEG,GHDHS2003408006,2003,DHS,1139,924,,,1
GHA,Brong-Ahafo,7445220,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women],20.1,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_VEG,135303020,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,HAAATTWVEG,GHDHS2003408007,2003,DHS,566,635,,,1
GHA,"Northern, Upper West, Upper East",5849639,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women],9.7,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_VEG,135303020,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,HAAATTWVEG,GHDHS2003408008,2003,DHS,886,1362,,,
GHA,Northern (pre 2022),4265000,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women],7.4,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_VEG,135303020,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,HAAATTWVEG,GHDHS2003408009,2003,DHS,437,532,,,1
GHA,Upper West,6177636,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women],12.5,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_VEG,135303020,I,408010,1408100,Region,..Upper West,0,,0,1,HAAATTWVEG,GHDHS2003408010,2003,DHS,146,443,,,1
GHA,Upper East,4789225,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women],11.7,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_VEG,135303020,I,408011,1408110,Region,..Upper East,0,,0,1,HAAATTWVEG,GHDHS2003408011,2003,DHS,303,387,,,1
GHA,Western (pre 2022),7210218,Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Women],33.2,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_FTC,135303030,I,408001,1408010,Region,Western (pre 2022),0,,0,1,HAAATTWFTC,GHDHS2003408001,2003,DHS,552,522,,,1
GHA,Central,1404960,Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Women],32.2,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_FTC,135303030,I,408002,1408020,Region,Central,0,,0,1,HAAATTWFTC,GHDHS2003408002,2003,DHS,431,352,,,1
GHA,Greater Accra,3507375,Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Women],55.4,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_FTC,135303030,I,408003,1408030,Region,Greater Accra,0,,0,1,HAAATTWFTC,GHDHS2003408003,2003,DHS,937,830,,,1
GHA,Volta (pre 2022),5179269,Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Women],28.1,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_FTC,135303030,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,HAAATTWFTC,GHDHS2003408004,2003,DHS,491,441,,,1
GHA,Eastern,4421230,Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Women],37.6,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_FTC,135303030,I,408005,1408050,Region,Eastern,0,,0,1,HAAATTWFTC,GHDHS2003408005,2003,DHS,595,501,,,1
GHA,Ashanti,387951,Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Women],39.6,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_FTC,135303030,I,408006,1408060,Region,Ashanti,0,,0,1,HAAATTWFTC,GHDHS2003408006,2003,DHS,1139,924,,,1
GHA,Brong-Ahafo,7445218,Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Women],32,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_FTC,135303030,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,HAAATTWFTC,GHDHS2003408007,2003,DHS,566,635,,,1
GHA,"Northern, Upper West, Upper East",5849574,Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Women],33,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_FTC,135303030,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,HAAATTWFTC,GHDHS2003408008,2003,DHS,886,1362,,,
GHA,Northern (pre 2022),4264971,Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Women],32.1,1,GH,Ghana,2003,GH2003DHS,HA_AATT_W_FTC,135303030,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,HAAATTWFTC,GHDHS2003408009,2003,DHS,437,532,,,1
