ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),380161,Men who have heard of HIV or AIDS,99,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408001,1408010,Region,Western (pre 2022),0,,0,1,HAKAIDMHRD,GHDHS1993408001,1993,DHS,100,100,,,1
GHA,Central,6089883,Men who have heard of HIV or AIDS,98,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408002,1408020,Region,Central,0,,0,1,HAKAIDMHRD,GHDHS1993408002,1993,DHS,101,101,,,1
GHA,Greater Accra,395387,Men who have heard of HIV or AIDS,100,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408003,1408030,Region,Greater Accra,0,,0,1,HAKAIDMHRD,GHDHS1993408003,1993,DHS,150,150,,,1
GHA,Volta (pre 2022),4480175,Men who have heard of HIV or AIDS,98.1,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,HAKAIDMHRD,GHDHS1993408004,1993,DHS,157,157,,,1
GHA,Eastern,3120169,Men who have heard of HIV or AIDS,98.7,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408005,1408050,Region,Eastern,0,,0,1,HAKAIDMHRD,GHDHS1993408005,1993,DHS,152,152,,,1
GHA,Ashanti,373558,Men who have heard of HIV or AIDS,99.4,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408006,1408060,Region,Ashanti,0,,0,1,HAKAIDMHRD,GHDHS1993408006,1993,DHS,162,162,,,1
GHA,Brong-Ahafo,6324895,Men who have heard of HIV or AIDS,100,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,HAKAIDMHRD,GHDHS1993408007,1993,DHS,105,105,,,1
GHA,"Northern, Upper West, Upper East",387941,Men who have heard of HIV or AIDS,85.4,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,HAKAIDMHRD,GHDHS1993408008,1993,DHS,212,212,,,
GHA,Northern (pre 2022),5266143,Men who have heard of HIV or AIDS,79,1,GH,Ghana,1993,GH1993DHS,HA_KAID_M_HRD,135164040,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,HAKAIDMHRD,GHDHS1993408009,1993,DHS,119,119,,,1
