ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),4702920,HIV prevalence among women,3.4,1,GH,Ghana,2003,GH2003DHS,HA_HIVP_W_HIV,135963160,I,408001,1408010,Region,Western (pre 2022),0,,0,1,HAHIVPWHIV,GHDHS2003408001,2003,DHS,497,509,1.8,5,1
GHA,Central,7828479,HIV prevalence among women,1.7,1,GH,Ghana,2003,GH2003DHS,HA_HIVP_W_HIV,135963160,I,408002,1408020,Region,Central,0,,0,1,HAHIVPWHIV,GHDHS2003408002,2003,DHS,386,340,0.3,3.1,1
GHA,Greater Accra,7739437,HIV prevalence among women,2.6,1,GH,Ghana,2003,GH2003DHS,HA_HIVP_W_HIV,135963160,I,408003,1408030,Region,Greater Accra,0,,0,1,HAHIVPWHIV,GHDHS2003408003,2003,DHS,839,765,1.3,3.9,1
GHA,Volta (pre 2022),6219360,HIV prevalence among women,1.2,1,GH,Ghana,2003,GH2003DHS,HA_HIVP_W_HIV,135963160,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,HAHIVPWHIV,GHDHS2003408004,2003,DHS,437,423,0.2,2.2,1
GHA,Eastern,7688060,HIV prevalence among women,3.8,1,GH,Ghana,2003,GH2003DHS,HA_HIVP_W_HIV,135963160,I,408005,1408050,Region,Eastern,0,,0,1,HAHIVPWHIV,GHDHS2003408005,2003,DHS,535,448,1.8,5.8,1
GHA,Ashanti,7403641,HIV prevalence among women,2.5,1,GH,Ghana,2003,GH2003DHS,HA_HIVP_W_HIV,135963160,I,408006,1408060,Region,Ashanti,0,,0,1,HAHIVPWHIV,GHDHS2003408006,2003,DHS,1023,882,1.4,3.6,1
GHA,Brong-Ahafo,7641923,HIV prevalence among women,3.8,1,GH,Ghana,2003,GH2003DHS,HA_HIVP_W_HIV,135963160,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,HAHIVPWHIV,GHDHS2003408007,2003,DHS,511,602,2.5,5.1,1
GHA,"Northern, Upper West, Upper East",7615021,HIV prevalence among women,0.9,1,GH,Ghana,2003,GH2003DHS,HA_HIVP_W_HIV,135963160,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,HAHIVPWHIV,GHDHS2003408008,2003,DHS,861,1320,0.4,1.5,
GHA,Northern (pre 2022),3368767,HIV prevalence among women,0.7,1,GH,Ghana,2003,GH2003DHS,HA_HIVP_W_HIV,135963160,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,HAHIVPWHIV,GHDHS2003408009,2003,DHS,448,545,0,1.5,1
