ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),3866343,Households with at least one mosquito net,14.3,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_MOS,124661010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,MLNETPHMOS,GHDHS2003408001,2003,DHS,612,580,,,1
GHA,Central,1989886,Households with at least one mosquito net,8.7,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_MOS,124661010,I,408002,1408020,Region,Central,0,,0,1,MLNETPHMOS,GHDHS2003408002,2003,DHS,587,481,,,1
GHA,Greater Accra,5661515,Households with at least one mosquito net,14.2,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_MOS,124661010,I,408003,1408030,Region,Greater Accra,0,,0,1,MLNETPHMOS,GHDHS2003408003,2003,DHS,890,842,,,1
GHA,Volta (pre 2022),4234570,Households with at least one mosquito net,46.1,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_MOS,124661010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,MLNETPHMOS,GHDHS2003408004,2003,DHS,538,490,,,1
GHA,Eastern,4784322,Households with at least one mosquito net,10.3,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_MOS,124661010,I,408005,1408050,Region,Eastern,0,,0,1,MLNETPHMOS,GHDHS2003408005,2003,DHS,732,629,,,1
GHA,Ashanti,3161483,Households with at least one mosquito net,10.1,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_MOS,124661010,I,408006,1408060,Region,Ashanti,0,,0,1,MLNETPHMOS,GHDHS2003408006,2003,DHS,1313,1069,,,1
GHA,Brong-Ahafo,7445756,Households with at least one mosquito net,20.3,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_MOS,124661010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,MLNETPHMOS,GHDHS2003408007,2003,DHS,665,732,,,1
GHA,"Northern, Upper West, Upper East",6014187,Households with at least one mosquito net,27,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_MOS,124661010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,MLNETPHMOS,GHDHS2003408008,2003,DHS,914,1428,,,
GHA,Northern (pre 2022),3405751,Households with at least one mosquito net,20.9,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_MOS,124661010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,MLNETPHMOS,GHDHS2003408009,2003,DHS,487,591,,,1
GHA,Upper West,4003952,Households with at least one mosquito net,30.2,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_MOS,124661010,I,408010,1408100,Region,..Upper West,0,,0,1,MLNETPHMOS,GHDHS2003408010,2003,DHS,147,456,,,1
GHA,Upper East,4093735,Households with at least one mosquito net,35.9,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_MOS,124661010,I,408011,1408110,Region,..Upper East,0,,0,1,MLNETPHMOS,GHDHS2003408011,2003,DHS,280,381,,,1
GHA,Western (pre 2022),3866342,Households with at least one insecticide-treated mosquito net (ITN),2.3,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,MLNETPHITN,GHDHS2003408001,2003,DHS,612,580,,,1
GHA,Central,1989863,Households with at least one insecticide-treated mosquito net (ITN),2.5,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408002,1408020,Region,Central,0,,0,1,MLNETPHITN,GHDHS2003408002,2003,DHS,587,481,,,1
GHA,Greater Accra,5661503,Households with at least one insecticide-treated mosquito net (ITN),2.2,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408003,1408030,Region,Greater Accra,0,,0,1,MLNETPHITN,GHDHS2003408003,2003,DHS,890,842,,,1
GHA,Volta (pre 2022),4234568,Households with at least one insecticide-treated mosquito net (ITN),2.7,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,MLNETPHITN,GHDHS2003408004,2003,DHS,538,490,,,1
GHA,Eastern,4784318,Households with at least one insecticide-treated mosquito net (ITN),0.7,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408005,1408050,Region,Eastern,0,,0,1,MLNETPHITN,GHDHS2003408005,2003,DHS,732,629,,,1
GHA,Ashanti,3161482,Households with at least one insecticide-treated mosquito net (ITN),2.1,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408006,1408060,Region,Ashanti,0,,0,1,MLNETPHITN,GHDHS2003408006,2003,DHS,1313,1069,,,1
