ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),4383740,Households with salt tested for iodine content,88.9,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_SLT,104531010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CNIODZHSLT,GHDHS2003408001,2003,DHS,612,580,,,1
GHA,Central,1708795,Households with salt tested for iodine content,92.1,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_SLT,104531010,I,408002,1408020,Region,Central,0,,0,1,CNIODZHSLT,GHDHS2003408002,2003,DHS,587,481,,,1
GHA,Greater Accra,5085522,Households with salt tested for iodine content,82.2,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_SLT,104531010,I,408003,1408030,Region,Greater Accra,0,,0,1,CNIODZHSLT,GHDHS2003408003,2003,DHS,890,842,,,1
GHA,Volta (pre 2022),5593529,Households with salt tested for iodine content,91.2,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_SLT,104531010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNIODZHSLT,GHDHS2003408004,2003,DHS,538,490,,,1
GHA,Eastern,1693959,Households with salt tested for iodine content,88.7,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_SLT,104531010,I,408005,1408050,Region,Eastern,0,,0,1,CNIODZHSLT,GHDHS2003408005,2003,DHS,732,629,,,1
GHA,Ashanti,6196023,Households with salt tested for iodine content,90.7,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_SLT,104531010,I,408006,1408060,Region,Ashanti,0,,0,1,CNIODZHSLT,GHDHS2003408006,2003,DHS,1313,1069,,,1
GHA,Brong-Ahafo,7445042,Households with salt tested for iodine content,92.3,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_SLT,104531010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CNIODZHSLT,GHDHS2003408007,2003,DHS,665,732,,,1
GHA,"Northern, Upper West, Upper East",5387542,Households with salt tested for iodine content,93.9,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_SLT,104531010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CNIODZHSLT,GHDHS2003408008,2003,DHS,914,1428,,,
GHA,Northern (pre 2022),3234012,Households with salt tested for iodine content,94.9,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_SLT,104531010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,CNIODZHSLT,GHDHS2003408009,2003,DHS,487,591,,,1
GHA,Upper West,1693973,Households with salt tested for iodine content,93.2,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_SLT,104531010,I,408010,1408100,Region,..Upper West,0,,0,1,CNIODZHSLT,GHDHS2003408010,2003,DHS,147,456,,,1
GHA,Upper East,5881685,Households with salt tested for iodine content,92.5,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_SLT,104531010,I,408011,1408110,Region,..Upper East,0,,0,1,CNIODZHSLT,GHDHS2003408011,2003,DHS,280,381,,,1
GHA,Western (pre 2022),4383739,Households with no salt,10.6,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NSL,104531020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CNIODZHNSL,GHDHS2003408001,2003,DHS,612,580,,,1
GHA,Central,1708793,Households with no salt,7.9,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NSL,104531020,I,408002,1408020,Region,Central,0,,0,1,CNIODZHNSL,GHDHS2003408002,2003,DHS,587,481,,,1
GHA,Greater Accra,5085524,Households with no salt,17.1,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NSL,104531020,I,408003,1408030,Region,Greater Accra,0,,0,1,CNIODZHNSL,GHDHS2003408003,2003,DHS,890,842,,,1
GHA,Volta (pre 2022),5593531,Households with no salt,8.7,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NSL,104531020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNIODZHNSL,GHDHS2003408004,2003,DHS,538,490,,,1
GHA,Eastern,1693989,Households with no salt,11.3,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NSL,104531020,I,408005,1408050,Region,Eastern,0,,0,1,CNIODZHNSL,GHDHS2003408005,2003,DHS,732,629,,,1
GHA,Ashanti,6196025,Households with no salt,9.3,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NSL,104531020,I,408006,1408060,Region,Ashanti,0,,0,1,CNIODZHNSL,GHDHS2003408006,2003,DHS,1313,1069,,,1
GHA,Brong-Ahafo,7445044,Households with no salt,7.6,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NSL,104531020,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CNIODZHNSL,GHDHS2003408007,2003,DHS,665,732,,,1
GHA,"Northern, Upper West, Upper East",5387541,Households with no salt,5.6,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NSL,104531020,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CNIODZHNSL,GHDHS2003408008,2003,DHS,914,1428,,,
GHA,Northern (pre 2022),3234011,Households with no salt,4.6,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NSL,104531020,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,CNIODZHNSL,GHDHS2003408009,2003,DHS,487,591,,,1
GHA,Upper West,1693971,Households with no salt,6,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NSL,104531020,I,408010,1408100,Region,..Upper West,0,,0,1,CNIODZHNSL,GHDHS2003408010,2003,DHS,147,456,,,1
GHA,Upper East,5881687,Households with no salt,7.1,1,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NSL,104531020,I,408011,1408110,Region,..Upper East,0,,0,1,CNIODZHNSL,GHDHS2003408011,2003,DHS,280,381,,,1
GHA,Western (pre 2022),4496870,Number of households,612,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NM1,104531030,D,408001,1408010,Region,Western (pre 2022),0,,0,1,CNIODZHNM1,GHDHS2003408001,2003,DHS,,580,,,1
GHA,Central,1708792,Number of households,587,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NM1,104531030,D,408002,1408020,Region,Central,0,,0,1,CNIODZHNM1,GHDHS2003408002,2003,DHS,,481,,,1
GHA,Greater Accra,5143704,Number of households,890,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NM1,104531030,D,408003,1408030,Region,Greater Accra,0,,0,1,CNIODZHNM1,GHDHS2003408003,2003,DHS,,842,,,1
GHA,Volta (pre 2022),5726542,Number of households,538,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NM1,104531030,D,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNIODZHNM1,GHDHS2003408004,2003,DHS,,490,,,1
GHA,Eastern,1693991,Number of households,732,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NM1,104531030,D,408005,1408050,Region,Eastern,0,,0,1,CNIODZHNM1,GHDHS2003408005,2003,DHS,,629,,,1
GHA,Ashanti,6279416,Number of households,1313,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NM1,104531030,D,408006,1408060,Region,Ashanti,0,,0,1,CNIODZHNM1,GHDHS2003408006,2003,DHS,,1069,,,1
GHA,Brong-Ahafo,7444683,Number of households,665,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NM1,104531030,D,408007,1408070,Region,Brong-Ahafo,0,,0,1,CNIODZHNM1,GHDHS2003408007,2003,DHS,,732,,,1
GHA,"Northern, Upper West, Upper East",5525762,Number of households,914,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NM1,104531030,D,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CNIODZHNM1,GHDHS2003408008,2003,DHS,,1428,,,
GHA,Northern (pre 2022),1708842,Number of households,487,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NM1,104531030,D,408009,1408090,Region,..Northern (pre 2022),0,,0,1,CNIODZHNM1,GHDHS2003408009,2003,DHS,,591,,,1
GHA,Upper West,1693972,Number of households,147,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NM1,104531030,D,408010,1408100,Region,..Upper West,0,,0,1,CNIODZHNM1,GHDHS2003408010,2003,DHS,,456,,,1
GHA,Upper East,5936972,Number of households,280,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_NM1,104531030,D,408011,1408110,Region,..Upper East,0,,0,1,CNIODZHNM1,GHDHS2003408011,2003,DHS,,381,,,1
GHA,Western (pre 2022),2755012,Number of households (unweighted),580,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_UN1,104531040,U,408001,1408010,Region,Western (pre 2022),0,,0,1,CNIODZHUN1,GHDHS2003408001,2003,DHS,612,,,,1
GHA,Central,1708802,Number of households (unweighted),481,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_UN1,104531040,U,408002,1408020,Region,Central,0,,0,1,CNIODZHUN1,GHDHS2003408002,2003,DHS,587,,,,1
GHA,Greater Accra,1482075,Number of households (unweighted),842,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_UN1,104531040,U,408003,1408030,Region,Greater Accra,0,,0,1,CNIODZHUN1,GHDHS2003408003,2003,DHS,890,,,,1
GHA,Volta (pre 2022),3220945,Number of households (unweighted),490,0,GH,Ghana,2003,GH2003DHS,CN_IODZ_H_UN1,104531040,U,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNIODZHUN1,GHDHS2003408004,2003,DHS,538,,,,1
