ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),3269052,Women with secondary or higher education,53.2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,EDLITRWSCH,GHDHS2003408001,2003,DHS,553,524,,,1
GHA,Central,4197764,Women with secondary or higher education,46.7,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408002,1408020,Region,Central,0,,0,1,EDLITRWSCH,GHDHS2003408002,2003,DHS,431,352,,,1
GHA,Greater Accra,5464537,Women with secondary or higher education,71.2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408003,1408030,Region,Greater Accra,0,,0,1,EDLITRWSCH,GHDHS2003408003,2003,DHS,942,835,,,1
GHA,Volta (pre 2022),6693881,Women with secondary or higher education,52,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,EDLITRWSCH,GHDHS2003408004,2003,DHS,492,442,,,1
GHA,Eastern,5219610,Women with secondary or higher education,60.6,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408005,1408050,Region,Eastern,0,,0,1,EDLITRWSCH,GHDHS2003408005,2003,DHS,601,506,,,1
GHA,Ashanti,2325716,Women with secondary or higher education,64.2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408006,1408060,Region,Ashanti,0,,0,1,EDLITRWSCH,GHDHS2003408006,2003,DHS,1142,927,,,1
GHA,Brong-Ahafo,7445659,Women with secondary or higher education,49.7,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,EDLITRWSCH,GHDHS2003408007,2003,DHS,569,638,,,1
GHA,"Northern, Upper West, Upper East",6553533,Women with secondary or higher education,15.1,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,EDLITRWSCH,GHDHS2003408008,2003,DHS,961,1467,,,
GHA,Northern (pre 2022),69582,Women with secondary or higher education,12.7,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,EDLITRWSCH,GHDHS2003408009,2003,DHS,499,610,,,1
GHA,Upper West,7219610,Women with secondary or higher education,21.5,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408010,1408100,Region,..Upper West,0,,0,1,EDLITRWSCH,GHDHS2003408010,2003,DHS,153,462,,,1
GHA,Upper East,3890205,Women with secondary or higher education,15.8,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_SCH,231233010,I,408011,1408110,Region,..Upper East,0,,0,1,EDLITRWSCH,GHDHS2003408011,2003,DHS,310,395,,,1
GHA,Western (pre 2022),3269053,Women who can read a whole sentence,1.1,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,EDLITRWRDW,GHDHS2003408001,2003,DHS,553,524,,,1
GHA,Central,4197765,Women who can read a whole sentence,2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408002,1408020,Region,Central,0,,0,1,EDLITRWRDW,GHDHS2003408002,2003,DHS,431,352,,,1
GHA,Greater Accra,5464538,Women who can read a whole sentence,2.2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408003,1408030,Region,Greater Accra,0,,0,1,EDLITRWRDW,GHDHS2003408003,2003,DHS,942,835,,,1
GHA,Volta (pre 2022),6693883,Women who can read a whole sentence,2.6,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,EDLITRWRDW,GHDHS2003408004,2003,DHS,492,442,,,1
GHA,Eastern,5219611,Women who can read a whole sentence,2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408005,1408050,Region,Eastern,0,,0,1,EDLITRWRDW,GHDHS2003408005,2003,DHS,601,506,,,1
GHA,Ashanti,2325717,Women who can read a whole sentence,1.5,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408006,1408060,Region,Ashanti,0,,0,1,EDLITRWRDW,GHDHS2003408006,2003,DHS,1142,927,,,1
GHA,Brong-Ahafo,7445660,Women who can read a whole sentence,2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,EDLITRWRDW,GHDHS2003408007,2003,DHS,569,638,,,1
GHA,"Northern, Upper West, Upper East",6553534,Women who can read a whole sentence,0.8,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,EDLITRWRDW,GHDHS2003408008,2003,DHS,961,1467,,,
GHA,Northern (pre 2022),69583,Women who can read a whole sentence,0.6,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,EDLITRWRDW,GHDHS2003408009,2003,DHS,499,610,,,1
GHA,Upper West,7219611,Women who can read a whole sentence,1.7,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408010,1408100,Region,..Upper West,0,,0,1,EDLITRWRDW,GHDHS2003408010,2003,DHS,153,462,,,1
GHA,Upper East,3890206,Women who can read a whole sentence,0.7,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDW,231233020,I,408011,1408110,Region,..Upper East,0,,0,1,EDLITRWRDW,GHDHS2003408011,2003,DHS,310,395,,,1
GHA,Western (pre 2022),3269054,Women who can read part of a sentence,2.3,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDP,231233030,I,408001,1408010,Region,Western (pre 2022),0,,0,1,EDLITRWRDP,GHDHS2003408001,2003,DHS,553,524,,,1
GHA,Central,4197780,Women who can read part of a sentence,1.4,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDP,231233030,I,408002,1408020,Region,Central,0,,0,1,EDLITRWRDP,GHDHS2003408002,2003,DHS,431,352,,,1
GHA,Greater Accra,5464539,Women who can read part of a sentence,1,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDP,231233030,I,408003,1408030,Region,Greater Accra,0,,0,1,EDLITRWRDP,GHDHS2003408003,2003,DHS,942,835,,,1
GHA,Volta (pre 2022),6693884,Women who can read part of a sentence,1.5,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDP,231233030,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,EDLITRWRDP,GHDHS2003408004,2003,DHS,492,442,,,1
GHA,Eastern,5219612,Women who can read part of a sentence,1.5,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDP,231233030,I,408005,1408050,Region,Eastern,0,,0,1,EDLITRWRDP,GHDHS2003408005,2003,DHS,601,506,,,1
GHA,Ashanti,2325718,Women who can read part of a sentence,1.5,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDP,231233030,I,408006,1408060,Region,Ashanti,0,,0,1,EDLITRWRDP,GHDHS2003408006,2003,DHS,1142,927,,,1
GHA,Brong-Ahafo,7445661,Women who can read part of a sentence,2.4,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDP,231233030,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,EDLITRWRDP,GHDHS2003408007,2003,DHS,569,638,,,1
GHA,"Northern, Upper West, Upper East",6553535,Women who can read part of a sentence,0.4,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDP,231233030,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,EDLITRWRDP,GHDHS2003408008,2003,DHS,961,1467,,,
GHA,Northern (pre 2022),69584,Women who can read part of a sentence,0.3,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDP,231233030,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,EDLITRWRDP,GHDHS2003408009,2003,DHS,499,610,,,1
GHA,Upper West,7219612,Women who can read part of a sentence,1.1,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDP,231233030,I,408010,1408100,Region,..Upper West,0,,0,1,EDLITRWRDP,GHDHS2003408010,2003,DHS,153,462,,,1
GHA,Upper East,3890207,Women who can read part of a sentence,0.1,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_RDP,231233030,I,408011,1408110,Region,..Upper East,0,,0,1,EDLITRWRDP,GHDHS2003408011,2003,DHS,310,395,,,1
GHA,Western (pre 2022),3269051,Women who cannot read at all,43.4,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NRD,231233040,I,408001,1408010,Region,Western (pre 2022),0,,0,1,EDLITRWNRD,GHDHS2003408001,2003,DHS,553,524,,,1
GHA,Central,4197781,Women who cannot read at all,49.9,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NRD,231233040,I,408002,1408020,Region,Central,0,,0,1,EDLITRWNRD,GHDHS2003408002,2003,DHS,431,352,,,1
GHA,Greater Accra,5464534,Women who cannot read at all,25.5,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NRD,231233040,I,408003,1408030,Region,Greater Accra,0,,0,1,EDLITRWNRD,GHDHS2003408003,2003,DHS,942,835,,,1
GHA,Volta (pre 2022),6693880,Women who cannot read at all,43.9,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NRD,231233040,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,EDLITRWNRD,GHDHS2003408004,2003,DHS,492,442,,,1
GHA,Eastern,5219603,Women who cannot read at all,35.9,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NRD,231233040,I,408005,1408050,Region,Eastern,0,,0,1,EDLITRWNRD,GHDHS2003408005,2003,DHS,601,506,,,1
GHA,Ashanti,2325719,Women who cannot read at all,32.6,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NRD,231233040,I,408006,1408060,Region,Ashanti,0,,0,1,EDLITRWNRD,GHDHS2003408006,2003,DHS,1142,927,,,1
GHA,Brong-Ahafo,7445675,Women who cannot read at all,45.6,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NRD,231233040,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,EDLITRWNRD,GHDHS2003408007,2003,DHS,569,638,,,1
GHA,"Northern, Upper West, Upper East",6553532,Women who cannot read at all,83.5,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NRD,231233040,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,EDLITRWNRD,GHDHS2003408008,2003,DHS,961,1467,,,
GHA,Northern (pre 2022),69581,Women who cannot read at all,86,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NRD,231233040,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,EDLITRWNRD,GHDHS2003408009,2003,DHS,499,610,,,1
GHA,Upper West,7219596,Women who cannot read at all,75.7,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NRD,231233040,I,408010,1408100,Region,..Upper West,0,,0,1,EDLITRWNRD,GHDHS2003408010,2003,DHS,153,462,,,1
GHA,Upper East,3890204,Women who cannot read at all,83.4,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NRD,231233040,I,408011,1408110,Region,..Upper East,0,,0,1,EDLITRWNRD,GHDHS2003408011,2003,DHS,310,395,,,1
GHA,Western (pre 2022),3269063,Women for whom no card with required language was available,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NCD,231233050,I,408001,1408010,Region,Western (pre 2022),0,,0,1,EDLITRWNCD,GHDHS2003408001,2003,DHS,553,524,,,1
GHA,Central,4197783,Women for whom no card with required language was available,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NCD,231233050,I,408002,1408020,Region,Central,0,,0,1,EDLITRWNCD,GHDHS2003408002,2003,DHS,431,352,,,1
GHA,Greater Accra,5464535,Women for whom no card with required language was available,0.1,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NCD,231233050,I,408003,1408030,Region,Greater Accra,0,,0,1,EDLITRWNCD,GHDHS2003408003,2003,DHS,942,835,,,1
GHA,Volta (pre 2022),6693885,Women for whom no card with required language was available,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NCD,231233050,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,EDLITRWNCD,GHDHS2003408004,2003,DHS,492,442,,,1
GHA,Eastern,5219604,Women for whom no card with required language was available,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NCD,231233050,I,408005,1408050,Region,Eastern,0,,0,1,EDLITRWNCD,GHDHS2003408005,2003,DHS,601,506,,,1
GHA,Ashanti,2325725,Women for whom no card with required language was available,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NCD,231233050,I,408006,1408060,Region,Ashanti,0,,0,1,EDLITRWNCD,GHDHS2003408006,2003,DHS,1142,927,,,1
GHA,Brong-Ahafo,7445676,Women for whom no card with required language was available,0.3,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NCD,231233050,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,EDLITRWNCD,GHDHS2003408007,2003,DHS,569,638,,,1
GHA,"Northern, Upper West, Upper East",6553536,Women for whom no card with required language was available,0.1,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NCD,231233050,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,EDLITRWNCD,GHDHS2003408008,2003,DHS,961,1467,,,
GHA,Northern (pre 2022),69585,Women for whom no card with required language was available,0.1,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NCD,231233050,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,EDLITRWNCD,GHDHS2003408009,2003,DHS,499,610,,,1
GHA,Upper West,7219608,Women for whom no card with required language was available,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NCD,231233050,I,408010,1408100,Region,..Upper West,0,,0,1,EDLITRWNCD,GHDHS2003408010,2003,DHS,153,462,,,1
GHA,Upper East,3890208,Women for whom no card with required language was available,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_NCD,231233050,I,408011,1408110,Region,..Upper East,0,,0,1,EDLITRWNCD,GHDHS2003408011,2003,DHS,310,395,,,1
GHA,Western (pre 2022),3269091,Women with missing information on literacy,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_MIS,231233070,S,408001,1408010,Region,Western (pre 2022),0,,0,1,EDLITRWMIS,GHDHS2003408001,2003,DHS,553,524,,,1
GHA,Central,4197784,Women with missing information on literacy,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_MIS,231233070,S,408002,1408020,Region,Central,0,,0,1,EDLITRWMIS,GHDHS2003408002,2003,DHS,431,352,,,1
GHA,Greater Accra,5464536,Women with missing information on literacy,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_MIS,231233070,S,408003,1408030,Region,Greater Accra,0,,0,1,EDLITRWMIS,GHDHS2003408003,2003,DHS,942,835,,,1
GHA,Volta (pre 2022),6693927,Women with missing information on literacy,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_MIS,231233070,S,408004,1408040,Region,Volta (pre 2022),0,,0,1,EDLITRWMIS,GHDHS2003408004,2003,DHS,492,442,,,1
GHA,Eastern,5219609,Women with missing information on literacy,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_MIS,231233070,S,408005,1408050,Region,Eastern,0,,0,1,EDLITRWMIS,GHDHS2003408005,2003,DHS,601,506,,,1
GHA,Ashanti,2325791,Women with missing information on literacy,0.1,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_MIS,231233070,S,408006,1408060,Region,Ashanti,0,,0,1,EDLITRWMIS,GHDHS2003408006,2003,DHS,1142,927,,,1
GHA,Brong-Ahafo,7445677,Women with missing information on literacy,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_MIS,231233070,S,408007,1408070,Region,Brong-Ahafo,0,,0,1,EDLITRWMIS,GHDHS2003408007,2003,DHS,569,638,,,1
GHA,"Northern, Upper West, Upper East",6553537,Women with missing information on literacy,0.2,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_MIS,231233070,S,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,EDLITRWMIS,GHDHS2003408008,2003,DHS,961,1467,,,
GHA,Northern (pre 2022),69586,Women with missing information on literacy,0.4,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_MIS,231233070,S,408009,1408090,Region,..Northern (pre 2022),0,,0,1,EDLITRWMIS,GHDHS2003408009,2003,DHS,499,610,,,1
GHA,Upper West,7219609,Women with missing information on literacy,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_MIS,231233070,S,408010,1408100,Region,..Upper West,0,,0,1,EDLITRWMIS,GHDHS2003408010,2003,DHS,153,462,,,1
GHA,Upper East,3890209,Women with missing information on literacy,0,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_MIS,231233070,S,408011,1408110,Region,..Upper East,0,,0,1,EDLITRWMIS,GHDHS2003408011,2003,DHS,310,395,,,1
GHA,Western (pre 2022),3269049,Women's literacy: Total,100,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_TOT,231233080,T,408001,1408010,Region,Western (pre 2022),0,,0,1,EDLITRWTOT,GHDHS2003408001,2003,DHS,553,524,,,1
GHA,Central,4197762,Women's literacy: Total,100,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_TOT,231233080,T,408002,1408020,Region,Central,0,,0,1,EDLITRWTOT,GHDHS2003408002,2003,DHS,431,352,,,1
GHA,Greater Accra,5464532,Women's literacy: Total,100,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_TOT,231233080,T,408003,1408030,Region,Greater Accra,0,,0,1,EDLITRWTOT,GHDHS2003408003,2003,DHS,942,835,,,1
GHA,Volta (pre 2022),6693878,Women's literacy: Total,100,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_TOT,231233080,T,408004,1408040,Region,Volta (pre 2022),0,,0,1,EDLITRWTOT,GHDHS2003408004,2003,DHS,492,442,,,1
GHA,Eastern,5219601,Women's literacy: Total,100,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_TOT,231233080,T,408005,1408050,Region,Eastern,0,,0,1,EDLITRWTOT,GHDHS2003408005,2003,DHS,601,506,,,1
GHA,Ashanti,2325714,Women's literacy: Total,100,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_TOT,231233080,T,408006,1408060,Region,Ashanti,0,,0,1,EDLITRWTOT,GHDHS2003408006,2003,DHS,1142,927,,,1
GHA,Brong-Ahafo,7445658,Women's literacy: Total,100,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_TOT,231233080,T,408007,1408070,Region,Brong-Ahafo,0,,0,1,EDLITRWTOT,GHDHS2003408007,2003,DHS,569,638,,,1
GHA,"Northern, Upper West, Upper East",6553530,Women's literacy: Total,100,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_TOT,231233080,T,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,EDLITRWTOT,GHDHS2003408008,2003,DHS,961,1467,,,
GHA,Northern (pre 2022),69578,Women's literacy: Total,100,1,GH,Ghana,2003,GH2003DHS,ED_LITR_W_TOT,231233080,T,408009,1408090,Region,..Northern (pre 2022),0,,0,1,EDLITRWTOT,GHDHS2003408009,2003,DHS,499,610,,,1
