ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),5022720,Malaria prevalence according to RDT,42.6,1,GH,Ghana,2014,GH2014DHS,ML_PMAL_C_RDT,125136010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,MLPMALCRDT,GHDHS2014408001,2014,DHS,270,272,33.2,51.9,1
GHA,Central,7755729,Malaria prevalence according to RDT,48.7,1,GH,Ghana,2014,GH2014DHS,ML_PMAL_C_RDT,125136010,I,408002,1408020,Region,Central,0,,0,1,MLPMALCRDT,GHDHS2014408002,2014,DHS,303,291,40.7,56.7,1
GHA,Greater Accra,4439903,Malaria prevalence according to RDT,11.8,1,GH,Ghana,2014,GH2014DHS,ML_PMAL_C_RDT,125136010,I,408003,1408030,Region,Greater Accra,0,,0,1,MLPMALCRDT,GHDHS2014408003,2014,DHS,385,205,5.4,18.2,1
GHA,Volta (pre 2022),7817644,Malaria prevalence according to RDT,36.6,1,GH,Ghana,2014,GH2014DHS,ML_PMAL_C_RDT,125136010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,MLPMALCRDT,GHDHS2014408004,2014,DHS,189,207,23.4,49.7,1
GHA,Eastern,3690148,Malaria prevalence according to RDT,40.3,1,GH,Ghana,2014,GH2014DHS,ML_PMAL_C_RDT,125136010,I,408005,1408050,Region,Eastern,0,,0,1,MLPMALCRDT,GHDHS2014408005,2014,DHS,238,246,29.5,51.1,1
GHA,Ashanti,7891472,Malaria prevalence according to RDT,20.6,1,GH,Ghana,2014,GH2014DHS,ML_PMAL_C_RDT,125136010,I,408006,1408060,Region,Ashanti,0,,0,1,MLPMALCRDT,GHDHS2014408006,2014,DHS,432,258,10.8,30.5,1
GHA,Brong-Ahafo,7605135,Malaria prevalence according to RDT,44.1,1,GH,Ghana,2014,GH2014DHS,ML_PMAL_C_RDT,125136010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,MLPMALCRDT,GHDHS2014408007,2014,DHS,257,326,33.9,54.3,1
GHA,"Northern, Upper West, Upper East",7862108,Malaria prevalence according to RDT,52.6,1,GH,Ghana,2014,GH2014DHS,ML_PMAL_C_RDT,125136010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,MLPMALCRDT,GHDHS2014408008,2014,DHS,483,879,43.2,62.1,
GHA,Northern (pre 2022),7780402,Malaria prevalence according to RDT,60.6,1,GH,Ghana,2014,GH2014DHS,ML_PMAL_C_RDT,125136010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,MLPMALCRDT,GHDHS2014408009,2014,DHS,313,411,48.1,73.2,1
