ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),5704430,Men circumcised,99.4,1,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_MCC,135634010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,HAMCRCMMCC,GHDHS2003408001,2003,DHS,435,419,,,1
GHA,Central,6740044,Men circumcised,99.1,1,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_MCC,135634010,I,408002,1408020,Region,Central,0,,0,1,HAMCRCMMCC,GHDHS2003408002,2003,DHS,327,263,,,1
GHA,Greater Accra,3507253,Men circumcised,98.6,1,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_MCC,135634010,I,408003,1408030,Region,Greater Accra,0,,0,1,HAMCRCMMCC,GHDHS2003408003,2003,DHS,664,560,,,1
GHA,Volta (pre 2022),13766,Men circumcised,98.3,1,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_MCC,135634010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,HAMCRCMMCC,GHDHS2003408004,2003,DHS,389,339,,,1
GHA,Eastern,6811206,Men circumcised,96.2,1,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_MCC,135634010,I,408005,1408050,Region,Eastern,0,,0,1,HAMCRCMMCC,GHDHS2003408005,2003,DHS,484,406,,,1
GHA,Ashanti,3336450,Men circumcised,98.7,1,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_MCC,135634010,I,408006,1408060,Region,Ashanti,0,,0,1,HAMCRCMMCC,GHDHS2003408006,2003,DHS,858,703,,,1
GHA,Brong-Ahafo,7444079,Men circumcised,96.2,1,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_MCC,135634010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,HAMCRCMMCC,GHDHS2003408007,2003,DHS,483,543,,,1
GHA,"Northern, Upper West, Upper East",6040686,Men circumcised,84.4,1,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_MCC,135634010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,HAMCRCMMCC,GHDHS2003408008,2003,DHS,890,1284,,,
GHA,Northern (pre 2022),36877,Men circumcised,86.6,1,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_MCC,135634010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,HAMCRCMMCC,GHDHS2003408009,2003,DHS,489,587,,,1
GHA,Upper West,4558101,Men circumcised,70.5,1,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_MCC,135634010,I,408010,1408100,Region,..Upper West,0,,0,1,HAMCRCMMCC,GHDHS2003408010,2003,DHS,116,346,,,1
GHA,Upper East,2153231,Men circumcised,86.2,1,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_MCC,135634010,I,408011,1408110,Region,..Upper East,0,,0,1,HAMCRCMMCC,GHDHS2003408011,2003,DHS,284,351,,,1
GHA,Western (pre 2022),5845748,Number of men,435,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_NUM,135634020,D,408001,1408010,Region,Western (pre 2022),0,,0,1,HAMCRCMNUM,GHDHS2003408001,2003,DHS,,419,,,1
GHA,Central,6768581,Number of men,327,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_NUM,135634020,D,408002,1408020,Region,Central,0,,0,1,HAMCRCMNUM,GHDHS2003408002,2003,DHS,,263,,,1
GHA,Greater Accra,3564201,Number of men,664,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_NUM,135634020,D,408003,1408030,Region,Greater Accra,0,,0,1,HAMCRCMNUM,GHDHS2003408003,2003,DHS,,560,,,1
GHA,Volta (pre 2022),13768,Number of men,389,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_NUM,135634020,D,408004,1408040,Region,Volta (pre 2022),0,,0,1,HAMCRCMNUM,GHDHS2003408004,2003,DHS,,339,,,1
GHA,Eastern,6841355,Number of men,484,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_NUM,135634020,D,408005,1408050,Region,Eastern,0,,0,1,HAMCRCMNUM,GHDHS2003408005,2003,DHS,,406,,,1
GHA,Ashanti,13772,Number of men,858,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_NUM,135634020,D,408006,1408060,Region,Ashanti,0,,0,1,HAMCRCMNUM,GHDHS2003408006,2003,DHS,,703,,,1
GHA,Brong-Ahafo,7444075,Number of men,483,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_NUM,135634020,D,408007,1408070,Region,Brong-Ahafo,0,,0,1,HAMCRCMNUM,GHDHS2003408007,2003,DHS,,543,,,1
GHA,"Northern, Upper West, Upper East",6159190,Number of men,890,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_NUM,135634020,D,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,HAMCRCMNUM,GHDHS2003408008,2003,DHS,,1284,,,
GHA,Northern (pre 2022),36882,Number of men,489,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_NUM,135634020,D,408009,1408090,Region,..Northern (pre 2022),0,,0,1,HAMCRCMNUM,GHDHS2003408009,2003,DHS,,587,,,1
GHA,Upper West,4638571,Number of men,116,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_NUM,135634020,D,408010,1408100,Region,..Upper West,0,,0,1,HAMCRCMNUM,GHDHS2003408010,2003,DHS,,346,,,1
GHA,Upper East,2534769,Number of men,284,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_NUM,135634020,D,408011,1408110,Region,..Upper East,0,,0,1,HAMCRCMNUM,GHDHS2003408011,2003,DHS,,351,,,1
GHA,Western (pre 2022),3180727,Number of men (unweighted),419,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_UNW,135634030,U,408001,1408010,Region,Western (pre 2022),0,,0,1,HAMCRCMUNW,GHDHS2003408001,2003,DHS,435,,,,1
GHA,Central,1538238,Number of men (unweighted),263,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_UNW,135634030,U,408002,1408020,Region,Central,0,,0,1,HAMCRCMUNW,GHDHS2003408002,2003,DHS,327,,,,1
GHA,Greater Accra,2738877,Number of men (unweighted),560,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_UNW,135634030,U,408003,1408030,Region,Greater Accra,0,,0,1,HAMCRCMUNW,GHDHS2003408003,2003,DHS,664,,,,1
GHA,Volta (pre 2022),13767,Number of men (unweighted),339,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_UNW,135634030,U,408004,1408040,Region,Volta (pre 2022),0,,0,1,HAMCRCMUNW,GHDHS2003408004,2003,DHS,389,,,,1
GHA,Eastern,2736559,Number of men (unweighted),406,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_UNW,135634030,U,408005,1408050,Region,Eastern,0,,0,1,HAMCRCMUNW,GHDHS2003408005,2003,DHS,484,,,,1
GHA,Ashanti,3336424,Number of men (unweighted),703,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_UNW,135634030,U,408006,1408060,Region,Ashanti,0,,0,1,HAMCRCMUNW,GHDHS2003408006,2003,DHS,858,,,,1
GHA,Brong-Ahafo,7444175,Number of men (unweighted),543,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_UNW,135634030,U,408007,1408070,Region,Brong-Ahafo,0,,0,1,HAMCRCMUNW,GHDHS2003408007,2003,DHS,483,,,,1
GHA,"Northern, Upper West, Upper East",3036580,Number of men (unweighted),1284,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_UNW,135634030,U,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,HAMCRCMUNW,GHDHS2003408008,2003,DHS,890,,,,
GHA,Northern (pre 2022),36883,Number of men (unweighted),587,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_UNW,135634030,U,408009,1408090,Region,..Northern (pre 2022),0,,0,1,HAMCRCMUNW,GHDHS2003408009,2003,DHS,489,,,,1
GHA,Upper West,2561652,Number of men (unweighted),346,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_UNW,135634030,U,408010,1408100,Region,..Upper West,0,,0,1,HAMCRCMUNW,GHDHS2003408010,2003,DHS,116,,,,1
GHA,Upper East,2153232,Number of men (unweighted),351,0,GH,Ghana,2003,GH2003DHS,HA_MCRC_M_UNW,135634030,U,408011,1408110,Region,..Upper East,0,,0,1,HAMCRCMUNW,GHDHS2003408011,2003,DHS,284,,,,1
GHA,Western (pre 2022),2251105,Circumcised men HIV positive,1.8,1,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_HVC,136064010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,HAHPMCMHVC,GHDHS2003408001,2003,DHS,379,353,,,1
GHA,Central,6236785,Circumcised men HIV positive,0.3,1,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_HVC,136064010,I,408002,1408020,Region,Central,0,,0,1,HAHPMCMHVC,GHDHS2003408002,2003,DHS,291,250,,,1
GHA,Greater Accra,4311802,Circumcised men HIV positive,1.6,1,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_HVC,136064010,I,408003,1408030,Region,Greater Accra,0,,0,1,HAHPMCMHVC,GHDHS2003408003,2003,DHS,578,421,,,1
GHA,Volta (pre 2022),4483927,Circumcised men HIV positive,0.3,1,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_HVC,136064010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,HAHPMCMHVC,GHDHS2003408004,2003,DHS,342,295,,,1
GHA,Eastern,1278208,Circumcised men HIV positive,3,1,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_HVC,136064010,I,408005,1408050,Region,Eastern,0,,0,1,HAHPMCMHVC,GHDHS2003408005,2003,DHS,428,306,,,1
GHA,Ashanti,5517138,Circumcised men HIV positive,1.3,1,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_HVC,136064010,I,408006,1408060,Region,Ashanti,0,,0,1,HAHPMCMHVC,GHDHS2003408006,2003,DHS,752,619,,,1
GHA,Brong-Ahafo,7445336,Circumcised men HIV positive,1.4,1,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_HVC,136064010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,HAHPMCMHVC,GHDHS2003408007,2003,DHS,422,456,,,1
GHA,"Northern, Upper West, Upper East",6497256,Circumcised men HIV positive,1.3,1,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_HVC,136064010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,HAHPMCMHVC,GHDHS2003408008,2003,DHS,671,883,,,
GHA,Northern (pre 2022),6093104,Circumcised men HIV positive,1.1,1,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_HVC,136064010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,HAHPMCMHVC,GHDHS2003408009,2003,DHS,375,445,,,1
GHA,Upper West,1278266,Circumcised men HIV positive,1.3,1,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_HVC,136064010,I,408010,1408100,Region,..Upper West,0,,0,1,HAHPMCMHVC,GHDHS2003408010,2003,DHS,74,192,,,1
GHA,Upper East,6869942,Circumcised men HIV positive,1.6,1,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_HVC,136064010,I,408011,1408110,Region,..Upper East,0,,0,1,HAHPMCMHVC,GHDHS2003408011,2003,DHS,222,246,,,1
GHA,Western (pre 2022),1288156,Number of circumcised men,379,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_NM1,136064020,D,408001,1408010,Region,Western (pre 2022),0,,0,1,HAHPMCMNM1,GHDHS2003408001,2003,DHS,,353,,,1
GHA,Central,6264775,Number of circumcised men,291,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_NM1,136064020,D,408002,1408020,Region,Central,0,,0,1,HAHPMCMNM1,GHDHS2003408002,2003,DHS,,250,,,1
GHA,Greater Accra,4311803,Number of circumcised men,578,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_NM1,136064020,D,408003,1408030,Region,Greater Accra,0,,0,1,HAHPMCMNM1,GHDHS2003408003,2003,DHS,,421,,,1
GHA,Volta (pre 2022),4511808,Number of circumcised men,342,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_NM1,136064020,D,408004,1408040,Region,Volta (pre 2022),0,,0,1,HAHPMCMNM1,GHDHS2003408004,2003,DHS,,295,,,1
GHA,Eastern,1278226,Number of circumcised men,428,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_NM1,136064020,D,408005,1408050,Region,Eastern,0,,0,1,HAHPMCMNM1,GHDHS2003408005,2003,DHS,,306,,,1
GHA,Ashanti,5541306,Number of circumcised men,752,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_NM1,136064020,D,408006,1408060,Region,Ashanti,0,,0,1,HAHPMCMNM1,GHDHS2003408006,2003,DHS,,619,,,1
GHA,Brong-Ahafo,7445393,Number of circumcised men,422,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_NM1,136064020,D,408007,1408070,Region,Brong-Ahafo,0,,0,1,HAHPMCMNM1,GHDHS2003408007,2003,DHS,,456,,,1
GHA,"Northern, Upper West, Upper East",6497257,Number of circumcised men,671,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_NM1,136064020,D,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,HAHPMCMNM1,GHDHS2003408008,2003,DHS,,883,,,
GHA,Northern (pre 2022),6112655,Number of circumcised men,375,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_NM1,136064020,D,408009,1408090,Region,..Northern (pre 2022),0,,0,1,HAHPMCMNM1,GHDHS2003408009,2003,DHS,,445,,,1
GHA,Upper West,1278222,Number of circumcised men,74,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_NM1,136064020,D,408010,1408100,Region,..Upper West,0,,0,1,HAHPMCMNM1,GHDHS2003408010,2003,DHS,,192,,,1
GHA,Upper East,6875777,Number of circumcised men,222,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_NM1,136064020,D,408011,1408110,Region,..Upper East,0,,0,1,HAHPMCMNM1,GHDHS2003408011,2003,DHS,,246,,,1
GHA,Western (pre 2022),2251110,Number of circumcised men (unweighted),353,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_UN1,136064030,U,408001,1408010,Region,Western (pre 2022),0,,0,1,HAHPMCMUN1,GHDHS2003408001,2003,DHS,379,,,,1
GHA,Central,2083739,Number of circumcised men (unweighted),250,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_UN1,136064030,U,408002,1408020,Region,Central,0,,0,1,HAHPMCMUN1,GHDHS2003408002,2003,DHS,291,,,,1
GHA,Greater Accra,1295885,Number of circumcised men (unweighted),421,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_UN1,136064030,U,408003,1408030,Region,Greater Accra,0,,0,1,HAHPMCMUN1,GHDHS2003408003,2003,DHS,578,,,,1
GHA,Volta (pre 2022),1535466,Number of circumcised men (unweighted),295,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_UN1,136064030,U,408004,1408040,Region,Volta (pre 2022),0,,0,1,HAHPMCMUN1,GHDHS2003408004,2003,DHS,342,,,,1
GHA,Eastern,1278209,Number of circumcised men (unweighted),306,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_UN1,136064030,U,408005,1408050,Region,Eastern,0,,0,1,HAHPMCMUN1,GHDHS2003408005,2003,DHS,428,,,,1
GHA,Ashanti,2188385,Number of circumcised men (unweighted),619,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_UN1,136064030,U,408006,1408060,Region,Ashanti,0,,0,1,HAHPMCMUN1,GHDHS2003408006,2003,DHS,752,,,,1
GHA,Brong-Ahafo,7444411,Number of circumcised men (unweighted),456,0,GH,Ghana,2003,GH2003DHS,HA_HPMC_M_UN1,136064030,U,408007,1408070,Region,Brong-Ahafo,0,,0,1,HAHPMCMUN1,GHDHS2003408007,2003,DHS,422,,,,1
