ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),5135372,Men who want no more children,24.6,1,GH,Ghana,1993,GH1993DHS,PR_DESL_M_WNM,22204040,I,408001,1408010,Region,Western (pre 2022),1000,Total,0,1,PRDESLMWNM,GHDHS1993408001,1993,DHS,,57,,,1
GHA,Central,1631788,Men who want no more children,17.2,1,GH,Ghana,1993,GH1993DHS,PR_DESL_M_WNM,22204040,I,408002,1408020,Region,Central,1000,Total,0,1,PRDESLMWNM,GHDHS1993408002,1993,DHS,,58,,,1
GHA,Greater Accra,1639218,Men who want no more children,45.7,1,GH,Ghana,1993,GH1993DHS,PR_DESL_M_WNM,22204040,I,408003,1408030,Region,Greater Accra,1000,Total,0,1,PRDESLMWNM,GHDHS1993408003,1993,DHS,,70,,,1
GHA,Volta (pre 2022),6370504,Men who want no more children,29.6,1,GH,Ghana,1993,GH1993DHS,PR_DESL_M_WNM,22204040,I,408004,1408040,Region,Volta (pre 2022),1000,Total,0,1,PRDESLMWNM,GHDHS1993408004,1993,DHS,,71,,,1
GHA,Eastern,1639207,Men who want no more children,16.9,1,GH,Ghana,1993,GH1993DHS,PR_DESL_M_WNM,22204040,I,408005,1408050,Region,Eastern,1000,Total,0,1,PRDESLMWNM,GHDHS1993408005,1993,DHS,,83,,,1
GHA,Ashanti,7870631,Men who want no more children,25,1,GH,Ghana,1993,GH1993DHS,PR_DESL_M_WNM,22204040,I,408006,1408060,Region,Ashanti,1000,Total,0,1,PRDESLMWNM,GHDHS1993408006,1993,DHS,,96,,,1
GHA,Brong-Ahafo,1624226,Men who want no more children,26.7,1,GH,Ghana,1993,GH1993DHS,PR_DESL_M_WNM,22204040,I,408007,1408070,Region,Brong-Ahafo,1000,Total,0,1,PRDESLMWNM,GHDHS1993408007,1993,DHS,,45,,,1
GHA,"Northern, Upper West, Upper East",4794110,Men who want no more children,13.3,1,GH,Ghana,1993,GH1993DHS,PR_DESL_M_WNM,22204040,I,408008,1408080,Region,"Northern, Upper West, Upper East",1000,Total,0,1,PRDESLMWNM,GHDHS1993408008,1993,DHS,,128,,,
GHA,"Northern, Upper West, Upper East",4906673,Men who want no more children,7.7,1,GH,Ghana,1993,GH1993DHS,PR_DESL_M_WNM,22204040,I,408008,1408080,Region,"Northern, Upper West, Upper East",189003,Living children: 3,0,0,PRDESLMWNM,GHDHS1993408008,1993,DHS,,26,,,
GHA,Northern (pre 2022),4889371,Men who want no more children,11.1,1,GH,Ghana,1993,GH1993DHS,PR_DESL_M_WNM,22204040,I,408009,1408090,Region,..Northern (pre 2022),1000,Total,0,1,PRDESLMWNM,GHDHS1993408009,1993,DHS,,72,,,1
GHA,Upper East,6342114,Men who want no more children,15.6,1,GH,Ghana,1993,GH1993DHS,PR_DESL_M_WNM,22204040,I,408011,1408110,Region,..Upper East,1000,Total,0,1,PRDESLMWNM,GHDHS1993408011,1993,DHS,,32,,,1
GHA,Western (pre 2022),4897293,Knowledge of any method of contraception among married men,100,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_ANY,32464050,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FPKMETMANY,GHDHS1993408001,1993,DHS,57,57,,,1
GHA,Central,4148100,Knowledge of any method of contraception among married men,100,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_ANY,32464050,I,408002,1408020,Region,Central,0,,0,1,FPKMETMANY,GHDHS1993408002,1993,DHS,58,58,,,1
GHA,Greater Accra,6102825,Knowledge of any method of contraception among married men,100,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_ANY,32464050,I,408003,1408030,Region,Greater Accra,0,,0,1,FPKMETMANY,GHDHS1993408003,1993,DHS,70,70,,,1
GHA,Volta (pre 2022),303711,Knowledge of any method of contraception among married men,98.6,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_ANY,32464050,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FPKMETMANY,GHDHS1993408004,1993,DHS,71,71,,,1
GHA,Eastern,5396908,Knowledge of any method of contraception among married men,96.4,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_ANY,32464050,I,408005,1408050,Region,Eastern,0,,0,1,FPKMETMANY,GHDHS1993408005,1993,DHS,83,83,,,1
GHA,Ashanti,281424,Knowledge of any method of contraception among married men,93.8,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_ANY,32464050,I,408006,1408060,Region,Ashanti,0,,0,1,FPKMETMANY,GHDHS1993408006,1993,DHS,96,96,,,1
GHA,Brong-Ahafo,4493413,Knowledge of any method of contraception among married men,95.6,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_ANY,32464050,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FPKMETMANY,GHDHS1993408007,1993,DHS,45,45,,,1
GHA,"Northern, Upper West, Upper East",7377205,Knowledge of any method of contraception among married men,85.9,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_ANY,32464050,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,FPKMETMANY,GHDHS1993408008,1993,DHS,128,128,,,
GHA,Northern (pre 2022),303707,Knowledge of any method of contraception among married men,83.3,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_ANY,32464050,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,FPKMETMANY,GHDHS1993408009,1993,DHS,72,72,,,1
GHA,Upper East,303710,Knowledge of any method of contraception among married men,93.8,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_ANY,32464050,I,408011,1408110,Region,..Upper East,0,,0,1,FPKMETMANY,GHDHS1993408011,1993,DHS,32,32,,,1
GHA,Western (pre 2022),4897351,Knowledge of any modern method of contraception amonth married men,100,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_MOD,32464060,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FPKMETMMOD,GHDHS1993408001,1993,DHS,57,57,,,1
GHA,Central,4148101,Knowledge of any modern method of contraception amonth married men,98.3,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_MOD,32464060,I,408002,1408020,Region,Central,0,,0,1,FPKMETMMOD,GHDHS1993408002,1993,DHS,58,58,,,1
GHA,Greater Accra,6102824,Knowledge of any modern method of contraception amonth married men,100,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_MOD,32464060,I,408003,1408030,Region,Greater Accra,0,,0,1,FPKMETMMOD,GHDHS1993408003,1993,DHS,70,70,,,1
GHA,Volta (pre 2022),303712,Knowledge of any modern method of contraception amonth married men,98.6,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_MOD,32464060,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FPKMETMMOD,GHDHS1993408004,1993,DHS,71,71,,,1
GHA,Eastern,5396909,Knowledge of any modern method of contraception amonth married men,95.2,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_MOD,32464060,I,408005,1408050,Region,Eastern,0,,0,1,FPKMETMMOD,GHDHS1993408005,1993,DHS,83,83,,,1
GHA,Ashanti,281426,Knowledge of any modern method of contraception amonth married men,93.8,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_MOD,32464060,I,408006,1408060,Region,Ashanti,0,,0,1,FPKMETMMOD,GHDHS1993408006,1993,DHS,96,96,,,1
GHA,Brong-Ahafo,4493431,Knowledge of any modern method of contraception amonth married men,95.6,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_MOD,32464060,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FPKMETMMOD,GHDHS1993408007,1993,DHS,45,45,,,1
GHA,"Northern, Upper West, Upper East",7377206,Knowledge of any modern method of contraception amonth married men,85.2,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_MOD,32464060,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,FPKMETMMOD,GHDHS1993408008,1993,DHS,128,128,,,
GHA,Northern (pre 2022),303709,Knowledge of any modern method of contraception amonth married men,81.9,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_MOD,32464060,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,FPKMETMMOD,GHDHS1993408009,1993,DHS,72,72,,,1
GHA,Upper East,303734,Knowledge of any modern method of contraception amonth married men,93.8,1,GH,Ghana,1993,GH1993DHS,FP_KMET_M_MOD,32464060,I,408011,1408110,Region,..Upper East,0,,0,1,FPKMETMMOD,GHDHS1993408011,1993,DHS,32,32,,,1
GHA,Western (pre 2022),6257349,Family planning messages on the radio [Men],49,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_RDO,33104070,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FPEFPMMRDO,GHDHS1993408001,1993,DHS,100,100,,,1
GHA,Central,289398,Family planning messages on the radio [Men],45.5,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_RDO,33104070,I,408002,1408020,Region,Central,0,,0,1,FPEFPMMRDO,GHDHS1993408002,1993,DHS,101,101,,,1
GHA,Greater Accra,4889481,Family planning messages on the radio [Men],70,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_RDO,33104070,I,408003,1408030,Region,Greater Accra,0,,0,1,FPEFPMMRDO,GHDHS1993408003,1993,DHS,150,150,,,1
GHA,Volta (pre 2022),304083,Family planning messages on the radio [Men],45.2,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_RDO,33104070,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FPEFPMMRDO,GHDHS1993408004,1993,DHS,157,157,,,1
GHA,Eastern,304092,Family planning messages on the radio [Men],52.6,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_RDO,33104070,I,408005,1408050,Region,Eastern,0,,0,1,FPEFPMMRDO,GHDHS1993408005,1993,DHS,152,152,,,1
GHA,Ashanti,6039088,Family planning messages on the radio [Men],50.6,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_RDO,33104070,I,408006,1408060,Region,Ashanti,0,,0,1,FPEFPMMRDO,GHDHS1993408006,1993,DHS,162,162,,,1
GHA,Brong-Ahafo,2168036,Family planning messages on the radio [Men],58.1,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_RDO,33104070,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FPEFPMMRDO,GHDHS1993408007,1993,DHS,105,105,,,1
GHA,"Northern, Upper West, Upper East",7159198,Family planning messages on the radio [Men],41.5,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_RDO,33104070,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,FPEFPMMRDO,GHDHS1993408008,1993,DHS,212,212,,,
GHA,Northern (pre 2022),2314882,Family planning messages on the radio [Men],33.6,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_RDO,33104070,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,FPEFPMMRDO,GHDHS1993408009,1993,DHS,119,119,,,1
GHA,Upper West,4735665,Family planning messages on the radio [Men],40.9,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_RDO,33104070,I,408010,1408100,Region,..Upper West,0,,0,1,FPEFPMMRDO,GHDHS1993408010,1993,DHS,44,44,,,1
GHA,Upper East,3703629,Family planning messages on the radio [Men],61.2,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_RDO,33104070,I,408011,1408110,Region,..Upper East,0,,0,1,FPEFPMMRDO,GHDHS1993408011,1993,DHS,49,49,,,1
GHA,Western (pre 2022),6257350,Family planning messages on television [Men],23,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_TLV,33104080,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FPEFPMMTLV,GHDHS1993408001,1993,DHS,100,100,,,1
GHA,Central,289399,Family planning messages on television [Men],19.8,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_TLV,33104080,I,408002,1408020,Region,Central,0,,0,1,FPEFPMMTLV,GHDHS1993408002,1993,DHS,101,101,,,1
GHA,Greater Accra,4889519,Family planning messages on television [Men],58,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_TLV,33104080,I,408003,1408030,Region,Greater Accra,0,,0,1,FPEFPMMTLV,GHDHS1993408003,1993,DHS,150,150,,,1
GHA,Volta (pre 2022),304084,Family planning messages on television [Men],8.9,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_TLV,33104080,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FPEFPMMTLV,GHDHS1993408004,1993,DHS,157,157,,,1
GHA,Eastern,304093,Family planning messages on television [Men],31.6,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_TLV,33104080,I,408005,1408050,Region,Eastern,0,,0,1,FPEFPMMTLV,GHDHS1993408005,1993,DHS,152,152,,,1
GHA,Ashanti,6039107,Family planning messages on television [Men],37,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_TLV,33104080,I,408006,1408060,Region,Ashanti,0,,0,1,FPEFPMMTLV,GHDHS1993408006,1993,DHS,162,162,,,1
GHA,Brong-Ahafo,2168037,Family planning messages on television [Men],39,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_TLV,33104080,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FPEFPMMTLV,GHDHS1993408007,1993,DHS,105,105,,,1
GHA,"Northern, Upper West, Upper East",7159199,Family planning messages on television [Men],15.6,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_TLV,33104080,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,FPEFPMMTLV,GHDHS1993408008,1993,DHS,212,212,,,
GHA,Northern (pre 2022),2314883,Family planning messages on television [Men],11.8,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_TLV,33104080,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,FPEFPMMTLV,GHDHS1993408009,1993,DHS,119,119,,,1
GHA,Upper West,4735666,Family planning messages on television [Men],22.7,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_TLV,33104080,I,408010,1408100,Region,..Upper West,0,,0,1,FPEFPMMTLV,GHDHS1993408010,1993,DHS,44,44,,,1
GHA,Upper East,3703630,Family planning messages on television [Men],18.4,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_TLV,33104080,I,408011,1408110,Region,..Upper East,0,,0,1,FPEFPMMTLV,GHDHS1993408011,1993,DHS,49,49,,,1
GHA,Western (pre 2022),6257351,Family planning messages in newspapers or magazines [Men],17,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_NWS,33104090,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FPEFPMMNWS,GHDHS1993408001,1993,DHS,100,100,,,1
GHA,Central,289400,Family planning messages in newspapers or magazines [Men],13.9,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_NWS,33104090,I,408002,1408020,Region,Central,0,,0,1,FPEFPMMNWS,GHDHS1993408002,1993,DHS,101,101,,,1
GHA,Greater Accra,4889520,Family planning messages in newspapers or magazines [Men],44.7,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_NWS,33104090,I,408003,1408030,Region,Greater Accra,0,,0,1,FPEFPMMNWS,GHDHS1993408003,1993,DHS,150,150,,,1
GHA,Volta (pre 2022),304085,Family planning messages in newspapers or magazines [Men],9.6,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_NWS,33104090,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FPEFPMMNWS,GHDHS1993408004,1993,DHS,157,157,,,1
GHA,Eastern,304094,Family planning messages in newspapers or magazines [Men],18.4,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_NWS,33104090,I,408005,1408050,Region,Eastern,0,,0,1,FPEFPMMNWS,GHDHS1993408005,1993,DHS,152,152,,,1
GHA,Ashanti,6039108,Family planning messages in newspapers or magazines [Men],19.1,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_NWS,33104090,I,408006,1408060,Region,Ashanti,0,,0,1,FPEFPMMNWS,GHDHS1993408006,1993,DHS,162,162,,,1
GHA,Brong-Ahafo,2168038,Family planning messages in newspapers or magazines [Men],24.8,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_NWS,33104090,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FPEFPMMNWS,GHDHS1993408007,1993,DHS,105,105,,,1
GHA,"Northern, Upper West, Upper East",7159200,Family planning messages in newspapers or magazines [Men],9.9,1,GH,Ghana,1993,GH1993DHS,FP_EFPM_M_NWS,33104090,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,FPEFPMMNWS,GHDHS1993408008,1993,DHS,212,212,,,
