Field,Label,Value
created,Created,2020-01-27T16:40:24.706402
description,Description,HXLated csv containing Anemia data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/98ed8116-f679-4ce4-adb1-78e77cf30e09/download/anemia_subnational_gha.csv
id,Resource ID,98ed8116-f679-4ce4-adb1-78e77cf30e09
last_modified,Updated,2026-01-20T13:57:33.874088
metadata_modified,Metadata Updated,2026-01-20T13:59:13.881402
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Anemia Data for Ghana
mimetype,MIME Type,text/csv
size,Size,203.1K
