Field,Label,Value
created,Created,2020-01-27T16:40:24.706406
description,Description,HXLated csv containing Anthropometry data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/890cbd60-921e-4900-9083-bc9b8869d401/download/anthropometry_subnational_gha.csv
id,Resource ID,890cbd60-921e-4900-9083-bc9b8869d401
last_modified,Updated,2026-01-20T13:57:34.483309
metadata_modified,Metadata Updated,2026-01-20T13:59:12.780633
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Anthropometry Data for Ghana
mimetype,MIME Type,text/csv
size,Size,439.8K
