Field,Label,Value
created,Created,2020-01-27T16:40:24.706421
description,Description,HXLated csv containing Child Mortality Rates data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/65db5fe6-0b1a-4171-aa08-305191cf50c0/download/child-mortality-rates_subnational_gha.csv
id,Resource ID,65db5fe6-0b1a-4171-aa08-305191cf50c0
last_modified,Updated,2026-01-20T13:57:35.974742
metadata_modified,Metadata Updated,2026-01-20T13:59:16.188336
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Child Mortality Rates Data for Ghana
mimetype,MIME Type,text/csv
size,Size,159.0K
