Field,Label,Value
created,Created,2020-01-27T16:40:24.706367
description,Description,HXLated csv containing DHS Mobile data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/288787ac-0922-42dd-ae15-53fb9f5614eb/download/dhs-mobile_subnational_gha.csv
id,Resource ID,288787ac-0922-42dd-ae15-53fb9f5614eb
last_modified,Updated,2026-01-20T13:57:28.690053
metadata_modified,Metadata Updated,2026-01-20T13:59:02.525313
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,DHS Mobile Data for Ghana
mimetype,MIME Type,text/csv
size,Size,2.0M
