Field,Label,Value
created,Created,2020-01-27T16:40:24.706355
description,Description,HXLated csv containing DHS Quickstats data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/899239de-b144-4e39-a5ce-824a9982d000/download/dhs-quickstats_subnational_gha.csv
id,Resource ID,899239de-b144-4e39-a5ce-824a9982d000
last_modified,Updated,2026-01-20T13:57:28.134465
metadata_modified,Metadata Updated,2026-01-20T13:59:08.311698
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,DHS Quickstats Data for Ghana
mimetype,MIME Type,text/csv
size,Size,443.0K
