Field,Label,Value
id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
title,Title of Dataset,Ghana - Subnational Demographic and Health Data
name,Dataset URL,dhs-subnational-data-for-ghana
notes,Description,"Contains data from the <a href=""https://api.dhsprogram.com/"">DHS data portal</a>. There is also a dataset containing <a href=""https://data.humdata.org/dataset/dhs-data-for-ghana"">Ghana - National Demographic and Health Data</a> on HDX.  The DHS Program Application Programming Interface (API) provides software developers access to aggregated indicator data from The Demographic and Health Surveys (DHS) Program. The API can be used to create various applications to help analyze, visualize, explore and disseminate data on population, health, HIV, and nutrition from more than 90 countries."
dataset_source,Source,The DHS Program
organization,Contributor,The DHS Program
dataset_date,Reference Period,[1988-01-01T00:00:00 TO 2022-12-31T23:59:59]
last_modified,Updated,2026-01-20T13:57:54.067016
data_update_frequency,Expected Update Frequency,Every year
groups,Location,Ghana
license_title,License,Other
methodology,Methodology,Sample Survey
methodology_other,Define Methodology,
caveats,Caveats/Comments,
tags,Tags,"demographics, health, hxl"
resource_1_created,Created,2020-01-27T16:40:24.706355
resource_1_description,Description,HXLated csv containing DHS Quickstats data
resource_1_format,File Format,CSV
resource_1_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/899239de-b144-4e39-a5ce-824a9982d000/download/dhs-quickstats_subnational_gha.csv
resource_1_id,Resource ID,899239de-b144-4e39-a5ce-824a9982d000
resource_1_last_modified,Updated,2026-01-20T13:57:28.134465
resource_1_metadata_modified,Metadata Updated,2026-01-20T13:59:08.311698
resource_1_microdata,Microdata,False
resource_1_dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_1_resource_type,Resource Type,file.upload
resource_1_name,Resource Name,DHS Quickstats Data for Ghana
resource_1_mimetype,MIME Type,text/csv
resource_1_size,Size,443.0K
resource_2_created,Created,2020-01-27T16:40:24.706367
resource_2_description,Description,HXLated csv containing DHS Mobile data
resource_2_format,File Format,CSV
resource_2_download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/288787ac-0922-42dd-ae15-53fb9f5614eb/download/dhs-mobile_subnational_gha.csv
resource_2_id,Resource ID,288787ac-0922-42dd-ae15-53fb9f5614eb
resource_2_last_modified,Updated,2026-01-20T13:57:28.690053
