Field,Label,Value
created,Created,2020-01-27T16:40:24.706430
description,Description,HXLated csv containing Fertility Rates data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/0392195b-7f3f-4bef-a748-d9cab232bfb2/download/fertility-rates_subnational_gha.csv
id,Resource ID,0392195b-7f3f-4bef-a748-d9cab232bfb2
last_modified,Updated,2026-01-20T13:57:37.769346
metadata_modified,Metadata Updated,2026-01-20T13:59:21.961546
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Fertility Rates Data for Ghana
mimetype,MIME Type,text/csv
size,Size,220.8K
