Field,Label,Value
created,Created,2020-01-27T16:40:24.706393
description,Description,HXLated csv containing FP2020 data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/6ff5a225-df88-4b25-bfce-361e47d9e7d5/download/fp2020_subnational_gha.csv
id,Resource ID,6ff5a225-df88-4b25-bfce-361e47d9e7d5
last_modified,Updated,2026-01-20T13:57:32.463071
metadata_modified,Metadata Updated,2026-01-20T13:59:11.051719
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,FP2020 Data for Ghana
mimetype,MIME Type,text/csv
size,Size,602.6K
