Field,Label,Value
created,Created,2020-01-27T16:40:24.706439
description,Description,HXLated csv containing HIV Attitudes data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/e1da7921-d1e9-4640-ae99-423b328b1cee/download/hiv-attitudes_subnational_gha.csv
id,Resource ID,e1da7921-d1e9-4640-ae99-423b328b1cee
last_modified,Updated,2026-01-20T13:57:38.876779
metadata_modified,Metadata Updated,2026-01-20T13:59:26.811949
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,HIV Attitudes Data for Ghana
mimetype,MIME Type,text/csv
size,Size,264.7K
