Field,Label,Value
created,Created,2020-01-27T16:40:24.706443
description,Description,HXLated csv containing HIV Behavior data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/ec8c1fb1-00a2-49d0-ab12-c6401d08dc6e/download/hiv-behavior_subnational_gha.csv
id,Resource ID,ec8c1fb1-00a2-49d0-ab12-c6401d08dc6e
last_modified,Updated,2026-01-20T13:57:39.336485
metadata_modified,Metadata Updated,2026-01-20T13:59:22.874311
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,HIV Behavior Data for Ghana
mimetype,MIME Type,text/csv
size,Size,359.3K
