Field,Label,Value
created,Created,2020-01-27T16:40:24.706464
description,Description,HXLated csv containing Insecticide Treated Nets data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/43ed6431-5133-4a32-994b-c451b38a4834/download/insecticide-treated-nets_subnational_gha.csv
id,Resource ID,43ed6431-5133-4a32-994b-c451b38a4834
last_modified,Updated,2026-01-20T13:57:42.611314
metadata_modified,Metadata Updated,2026-01-20T13:59:30.149216
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Insecticide Treated Nets Data for Ghana
mimetype,MIME Type,text/csv
size,Size,724.7K
