Field,Label,Value
created,Created,2020-01-27T16:40:24.706385
description,Description,HXLated csv containing IYCF data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/60a3bb7c-bee0-43db-833d-4e8869f050f8/download/iycf_subnational_gha.csv
id,Resource ID,60a3bb7c-bee0-43db-833d-4e8869f050f8
last_modified,Updated,2026-01-20T13:57:31.217477
metadata_modified,Metadata Updated,2026-01-20T13:59:05.661594
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,IYCF Data for Ghana
mimetype,MIME Type,text/csv
size,Size,88.1K
