Field,Label,Value
created,Created,2020-01-27T16:40:24.706481
description,Description,HXLated csv containing Male Circumcision data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/928b43de-ef0b-4ec6-bfbb-85b2c47442b1/download/male-circumcision_subnational_gha.csv
id,Resource ID,928b43de-ef0b-4ec6-bfbb-85b2c47442b1
last_modified,Updated,2026-01-20T13:57:44.264255
metadata_modified,Metadata Updated,2026-01-20T13:59:32.922590
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Male Circumcision Data for Ghana
mimetype,MIME Type,text/csv
size,Size,52.1K
