Field,Label,Value
created,Created,2020-01-27T16:40:24.706485
description,Description,HXLated csv containing Men's Fertility and Family Planning data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/9e586f74-57c1-45ef-a750-4e80bcd2a3a8/download/mens-fertility-and-family-planning_subnational_gha.csv
id,Resource ID,9e586f74-57c1-45ef-a750-4e80bcd2a3a8
last_modified,Updated,2026-01-20T13:57:45.361541
metadata_modified,Metadata Updated,2026-01-20T13:59:34.902458
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Men's Fertility and Family Planning Data for Ghana
mimetype,MIME Type,text/csv
size,Size,501.2K
