Field,Label,Value
created,Created,2020-01-27T16:40:24.706489
description,Description,HXLated csv containing Micronutrients data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/a990b3c1-910a-490d-8fb3-cc9a32e74c1c/download/micronutrients_subnational_gha.csv
id,Resource ID,a990b3c1-910a-490d-8fb3-cc9a32e74c1c
last_modified,Updated,2026-01-20T13:57:45.916825
metadata_modified,Metadata Updated,2026-01-20T13:59:35.936990
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Micronutrients Data for Ghana
mimetype,MIME Type,text/csv
size,Size,170.3K
