Field,Label,Value
created,Created,2020-01-27T16:40:24.706372
description,Description,HXLated csv containing SDGs data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/c90844f8-b0ab-4470-94b6-e6091e3f39e6/download/sdgs_subnational_gha.csv
id,Resource ID,c90844f8-b0ab-4470-94b6-e6091e3f39e6
last_modified,Updated,2026-01-20T13:57:29.489538
metadata_modified,Metadata Updated,2026-01-20T13:59:04.515501
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,SDGs Data for Ghana
mimetype,MIME Type,text/csv
size,Size,485.2K
