Field,Label,Value
created,Created,2020-01-27T16:40:24.706540
description,Description,HXLated csv containing Select Child Mortality Indicators data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/0b805997-f217-4169-bb8e-999787e280ae/download/select-child-mortality-indicators_subnational_gha.csv
id,Resource ID,0b805997-f217-4169-bb8e-999787e280ae
last_modified,Updated,2026-01-20T13:57:52.630234
metadata_modified,Metadata Updated,2026-01-20T13:59:48.065634
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Select Child Mortality Indicators Data for Ghana
mimetype,MIME Type,text/csv
size,Size,94.3K
