Field,Label,Value
created,Created,2020-01-27T16:40:24.706531
description,Description,HXLated csv containing Select Family Planning Indicators data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/dd16872d-564a-4ea3-8775-24c20eda655b/download/select-family-planning-indicators_subnational_gha.csv
id,Resource ID,dd16872d-564a-4ea3-8775-24c20eda655b
last_modified,Updated,2026-01-20T13:57:51.577366
metadata_modified,Metadata Updated,2026-01-20T13:59:46.315136
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Select Family Planning Indicators Data for Ghana
mimetype,MIME Type,text/csv
size,Size,104.4K
