Field,Label,Value
created,Created,2020-01-27T16:40:24.706523
description,Description,HXLated csv containing Select Malaria Indicators data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/e808f0bd-35be-496d-8d94-39b9b4c94a75/download/select-malaria-indicators_subnational_gha.csv
id,Resource ID,e808f0bd-35be-496d-8d94-39b9b4c94a75
last_modified,Updated,2026-01-20T13:57:49.720398
metadata_modified,Metadata Updated,2026-01-20T13:59:43.428528
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Select Malaria Indicators Data for Ghana
mimetype,MIME Type,text/csv
size,Size,251.1K
