Field,Label,Value
created,Created,2020-01-27T16:40:24.706535
description,Description,HXLated csv containing Select Nutrition Indicators data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/4ecc0a47-eff2-4f86-9c56-76d1c3e09e3f/download/select-nutrition-indicators_subnational_gha.csv
id,Resource ID,4ecc0a47-eff2-4f86-9c56-76d1c3e09e3f
last_modified,Updated,2026-01-20T13:57:52.129368
metadata_modified,Metadata Updated,2026-01-20T13:59:45.185166
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Select Nutrition Indicators Data for Ghana
mimetype,MIME Type,text/csv
size,Size,127.8K
