Field,Label,Value
created,Created,2020-01-27T16:40:24.706502
description,Description,HXLated csv containing Sexual Intercourse data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/977c349f-96aa-4aab-8f18-b80c76cc3137/download/sexual-intercourse_subnational_gha.csv
id,Resource ID,977c349f-96aa-4aab-8f18-b80c76cc3137
last_modified,Updated,2026-01-20T13:57:47.191208
metadata_modified,Metadata Updated,2026-01-20T13:59:39.100512
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Sexual Intercourse Data for Ghana
mimetype,MIME Type,text/csv
size,Size,518.3K
