Field,Label,Value
created,Created,2020-01-27T16:40:24.706510
description,Description,HXLated csv containing Tobacco data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/dc3fcb8a-40cd-41cd-93df-e78cfa67c95b/download/tobacco_subnational_gha.csv
id,Resource ID,dc3fcb8a-40cd-41cd-93df-e78cfa67c95b
last_modified,Updated,2026-01-20T13:57:48.495838
metadata_modified,Metadata Updated,2026-01-20T13:59:41.076630
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Tobacco Data for Ghana
mimetype,MIME Type,text/csv
size,Size,133.9K
