Field,Label,Value
created,Created,2020-01-27T16:40:24.706515
description,Description,HXLated csv containing Toilet Facilities data
format,File Format,CSV
download_url,Download URL,https://data.humdata.org/dataset/d4bfce82-1c5f-4cd9-b756-b030c4b4d050/resource/23bb36b1-96da-4968-9726-4712f8ec0643/download/toilet-facilities_subnational_gha.csv
id,Resource ID,23bb36b1-96da-4968-9726-4712f8ec0643
last_modified,Updated,2026-01-20T13:57:48.847254
metadata_modified,Metadata Updated,2026-01-20T13:59:41.854591
microdata,Microdata,False
dataset_id,Dataset ID,d4bfce82-1c5f-4cd9-b756-b030c4b4d050
resource_type,Resource Type,file.upload
name,Resource Name,Toilet Facilities Data for Ghana
mimetype,MIME Type,text/csv
size,Size,581.7K
