ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),7885392,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,75.1,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_VAF,104506010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CNMIACCVAF,GHDHS2008408001,2008,DHS,75,75,,,1
GHA,Central,6213258,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,77.1,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_VAF,104506010,I,408002,1408020,Region,Central,0,,0,1,CNMIACCVAF,GHDHS2008408002,2008,DHS,84,63,,,1
GHA,Greater Accra,7574559,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,78.9,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_VAF,104506010,I,408003,1408030,Region,Greater Accra,0,,0,1,CNMIACCVAF,GHDHS2008408003,2008,DHS,87,71,,,1
GHA,Volta (pre 2022),3616224,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,78.1,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_VAF,104506010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNMIACCVAF,GHDHS2008408004,2008,DHS,75,73,,,1
GHA,Eastern,4769927,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,76.2,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_VAF,104506010,I,408005,1408050,Region,Eastern,0,,0,1,CNMIACCVAF,GHDHS2008408005,2008,DHS,79,81,,,1
GHA,Ashanti,1525814,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,74,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_VAF,104506010,I,408006,1408060,Region,Ashanti,0,,0,1,CNMIACCVAF,GHDHS2008408006,2008,DHS,162,128,,,1
GHA,Brong-Ahafo,3441826,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,72.3,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_VAF,104506010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CNMIACCVAF,GHDHS2008408007,2008,DHS,77,77,,,1
GHA,"Northern, Upper West, Upper East",1708986,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,73.7,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_VAF,104506010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CNMIACCVAF,GHDHS2008408008,2008,DHS,186,289,,,
GHA,Northern (pre 2022),7200329,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,70,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_VAF,104506010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,CNMIACCVAF,GHDHS2008408009,2008,DHS,117,126,,,1
GHA,Upper West,5275252,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,78.5,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_VAF,104506010,I,408010,1408100,Region,..Upper West,0,,0,1,CNMIACCVAF,GHDHS2008408010,2008,DHS,25,95,,,1
GHA,Upper East,3735868,Children 6-23 months that consumed foods rich in vitamin A in the last 24 hours,80.9,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_VAF,104506010,I,408011,1408110,Region,..Upper East,0,,0,1,CNMIACCVAF,GHDHS2008408011,2008,DHS,45,68,,,1
GHA,Western (pre 2022),7885391,Children 6-23 months that consumed foods rich in iron in the last 24 hours,72.7,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_IRF,104506020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CNMIACCIRF,GHDHS2008408001,2008,DHS,75,75,,,1
GHA,Central,6213246,Children 6-23 months that consumed foods rich in iron in the last 24 hours,69.6,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_IRF,104506020,I,408002,1408020,Region,Central,0,,0,1,CNMIACCIRF,GHDHS2008408002,2008,DHS,84,63,,,1
GHA,Greater Accra,7574558,Children 6-23 months that consumed foods rich in iron in the last 24 hours,76.9,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_IRF,104506020,I,408003,1408030,Region,Greater Accra,0,,0,1,CNMIACCIRF,GHDHS2008408003,2008,DHS,87,71,,,1
GHA,Volta (pre 2022),3616206,Children 6-23 months that consumed foods rich in iron in the last 24 hours,72.6,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_IRF,104506020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNMIACCIRF,GHDHS2008408004,2008,DHS,75,73,,,1
GHA,Eastern,4769926,Children 6-23 months that consumed foods rich in iron in the last 24 hours,68.3,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_IRF,104506020,I,408005,1408050,Region,Eastern,0,,0,1,CNMIACCIRF,GHDHS2008408005,2008,DHS,79,81,,,1
GHA,Ashanti,1525813,Children 6-23 months that consumed foods rich in iron in the last 24 hours,63.9,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_IRF,104506020,I,408006,1408060,Region,Ashanti,0,,0,1,CNMIACCIRF,GHDHS2008408006,2008,DHS,162,128,,,1
GHA,Brong-Ahafo,3441825,Children 6-23 months that consumed foods rich in iron in the last 24 hours,70.4,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_IRF,104506020,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CNMIACCIRF,GHDHS2008408007,2008,DHS,77,77,,,1
GHA,"Northern, Upper West, Upper East",1708982,Children 6-23 months that consumed foods rich in iron in the last 24 hours,61.8,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_IRF,104506020,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CNMIACCIRF,GHDHS2008408008,2008,DHS,186,289,,,
GHA,Northern (pre 2022),7200328,Children 6-23 months that consumed foods rich in iron in the last 24 hours,60.5,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_IRF,104506020,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,CNMIACCIRF,GHDHS2008408009,2008,DHS,117,126,,,1
GHA,Upper West,5275231,Children 6-23 months that consumed foods rich in iron in the last 24 hours,62.6,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_IRF,104506020,I,408010,1408100,Region,..Upper West,0,,0,1,CNMIACCIRF,GHDHS2008408010,2008,DHS,25,95,,,1
GHA,Upper East,3735867,Children 6-23 months that consumed foods rich in iron in the last 24 hours,64.5,1,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_IRF,104506020,I,408011,1408110,Region,..Upper East,0,,0,1,CNMIACCIRF,GHDHS2008408011,2008,DHS,45,68,,,1
GHA,Western (pre 2022),7864831,Number of youngest children age 6-23 months living with mother,75,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_NM1,104506030,D,408001,1408010,Region,Western (pre 2022),0,,0,1,CNMIACCNM1,GHDHS2008408001,2008,DHS,,75,,,1
GHA,Central,6328076,Number of youngest children age 6-23 months living with mother,84,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_NM1,104506030,D,408002,1408020,Region,Central,0,,0,1,CNMIACCNM1,GHDHS2008408002,2008,DHS,,63,,,1
GHA,Greater Accra,7574560,Number of youngest children age 6-23 months living with mother,87,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_NM1,104506030,D,408003,1408030,Region,Greater Accra,0,,0,1,CNMIACCNM1,GHDHS2008408003,2008,DHS,,71,,,1
GHA,Volta (pre 2022),3700352,Number of youngest children age 6-23 months living with mother,75,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_NM1,104506030,D,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNMIACCNM1,GHDHS2008408004,2008,DHS,,73,,,1
GHA,Eastern,4884892,Number of youngest children age 6-23 months living with mother,79,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_NM1,104506030,D,408005,1408050,Region,Eastern,0,,0,1,CNMIACCNM1,GHDHS2008408005,2008,DHS,,81,,,1
GHA,Ashanti,1687526,Number of youngest children age 6-23 months living with mother,162,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_NM1,104506030,D,408006,1408060,Region,Ashanti,0,,0,1,CNMIACCNM1,GHDHS2008408006,2008,DHS,,128,,,1
GHA,Brong-Ahafo,3551655,Number of youngest children age 6-23 months living with mother,77,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_NM1,104506030,D,408007,1408070,Region,Brong-Ahafo,0,,0,1,CNMIACCNM1,GHDHS2008408007,2008,DHS,,77,,,1
GHA,"Northern, Upper West, Upper East",1708987,Number of youngest children age 6-23 months living with mother,186,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_NM1,104506030,D,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CNMIACCNM1,GHDHS2008408008,2008,DHS,,289,,,
GHA,Northern (pre 2022),7200330,Number of youngest children age 6-23 months living with mother,117,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_NM1,104506030,D,408009,1408090,Region,..Northern (pre 2022),0,,0,1,CNMIACCNM1,GHDHS2008408009,2008,DHS,,126,,,1
GHA,Upper West,5414519,Number of youngest children age 6-23 months living with mother,25,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_NM1,104506030,D,408010,1408100,Region,..Upper West,0,,0,1,CNMIACCNM1,GHDHS2008408010,2008,DHS,,95,,,1
GHA,Upper East,3735885,Number of youngest children age 6-23 months living with mother,45,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_NM1,104506030,D,408011,1408110,Region,..Upper East,0,,0,1,CNMIACCNM1,GHDHS2008408011,2008,DHS,,68,,,1
GHA,Western (pre 2022),7865547,Number of youngest children age 6-23 months living with mother (unweighted),75,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_UN1,104506040,U,408001,1408010,Region,Western (pre 2022),0,,0,1,CNMIACCUN1,GHDHS2008408001,2008,DHS,75,,,,1
GHA,Central,2868090,Number of youngest children age 6-23 months living with mother (unweighted),63,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_UN1,104506040,U,408002,1408020,Region,Central,0,,0,1,CNMIACCUN1,GHDHS2008408002,2008,DHS,84,,,,1
GHA,Greater Accra,7575620,Number of youngest children age 6-23 months living with mother (unweighted),71,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_UN1,104506040,U,408003,1408030,Region,Greater Accra,0,,0,1,CNMIACCUN1,GHDHS2008408003,2008,DHS,87,,,,1
GHA,Volta (pre 2022),2336640,Number of youngest children age 6-23 months living with mother (unweighted),73,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_UN1,104506040,U,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNMIACCUN1,GHDHS2008408004,2008,DHS,75,,,,1
GHA,Eastern,1563209,Number of youngest children age 6-23 months living with mother (unweighted),81,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_UN1,104506040,U,408005,1408050,Region,Eastern,0,,0,1,CNMIACCUN1,GHDHS2008408005,2008,DHS,79,,,,1
GHA,Ashanti,1525815,Number of youngest children age 6-23 months living with mother (unweighted),128,0,GH,Ghana,2008,GH2008DHS,CN_MIAC_C_UN1,104506040,U,408006,1408060,Region,Ashanti,0,,0,1,CNMIACCUN1,GHDHS2008408006,2008,DHS,162,,,,1
