ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),3888448,Number of households,545,0,GH,Ghana,1993,GH1993DHS,HC_ORPH_H_NUM,260861050,D,408001,1408010,Region,Western (pre 2022),0,,0,1,HCORPHHNUM,GHDHS1993408001,1993,DHS,,545,,,1
GHA,Central,7280698,Number of households,670,0,GH,Ghana,1993,GH1993DHS,HC_ORPH_H_NUM,260861050,D,408002,1408020,Region,Central,0,,0,1,HCORPHHNUM,GHDHS1993408002,1993,DHS,,670,,,1
GHA,Greater Accra,5284876,Number of households,698,0,GH,Ghana,1993,GH1993DHS,HC_ORPH_H_NUM,260861050,D,408003,1408030,Region,Greater Accra,0,,0,1,HCORPHHNUM,GHDHS1993408003,1993,DHS,,698,,,1
GHA,Volta (pre 2022),1856501,Number of households,519,0,GH,Ghana,1993,GH1993DHS,HC_ORPH_H_NUM,260861050,D,408004,1408040,Region,Volta (pre 2022),0,,0,1,HCORPHHNUM,GHDHS1993408004,1993,DHS,,519,,,1
GHA,Eastern,5057322,Number of households,773,0,GH,Ghana,1993,GH1993DHS,HC_ORPH_H_NUM,260861050,D,408005,1408050,Region,Eastern,0,,0,1,HCORPHHNUM,GHDHS1993408005,1993,DHS,,773,,,1
GHA,Ashanti,4271386,Number of households,1079,0,GH,Ghana,1993,GH1993DHS,HC_ORPH_H_NUM,260861050,D,408006,1408060,Region,Ashanti,0,,0,1,HCORPHHNUM,GHDHS1993408006,1993,DHS,,1079,,,1
GHA,Brong-Ahafo,5732318,Number of households,586,0,GH,Ghana,1993,GH1993DHS,HC_ORPH_H_NUM,260861050,D,408007,1408070,Region,Brong-Ahafo,0,,0,1,HCORPHHNUM,GHDHS1993408007,1993,DHS,,586,,,1
GHA,"Northern, Upper West, Upper East",1849972,Number of households,952,0,GH,Ghana,1993,GH1993DHS,HC_ORPH_H_NUM,260861050,D,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,HCORPHHNUM,GHDHS1993408008,1993,DHS,,952,,,
GHA,Northern (pre 2022),1856548,Number of households,468,0,GH,Ghana,1993,GH1993DHS,HC_ORPH_H_NUM,260861050,D,408009,1408090,Region,..Northern (pre 2022),0,,0,1,HCORPHHNUM,GHDHS1993408009,1993,DHS,,468,,,1
