ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),7630670,Neonatal mortality rate,39,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408001,1408010,Region,Western (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408001,1988,DHS,,,27,52,1
GHA,Central,7967597,Neonatal mortality rate,87,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408002,1408020,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408002,1988,DHS,,,74,100,1
GHA,Greater Accra,7502959,Neonatal mortality rate,41,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408003,1408030,Region,Greater Accra,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408003,1988,DHS,,,26,55,1
GHA,Volta (pre 2022),7597844,Neonatal mortality rate,44,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408004,1408040,Region,Volta (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408004,1988,DHS,,,24,64,1
GHA,Eastern,7958155,Neonatal mortality rate,40,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408005,1408050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408005,1988,DHS,,,25,56,1
GHA,Ashanti,7734109,Neonatal mortality rate,45,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408006,1408060,Region,Ashanti,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408006,1988,DHS,,,31,59,1
GHA,Brong-Ahafo,7692924,Neonatal mortality rate,40,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408007,1408070,Region,Brong-Ahafo,14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408007,1988,DHS,,,28,52,1
GHA,"Northern, Upper West, Upper East",7629357,Neonatal mortality rate,44,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_NNR,63206010,I,408008,1408080,Region,"Northern, Upper West, Upper East",14003,Ten years preceding the survey,0,1,CMECMRCNNR,GHDHS1988408008,1988,DHS,,,26,61,1
GHA,Western (pre 2022),7951587,Postneonatal mortality rate,35,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408001,1408010,Region,Western (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408001,1988,DHS,,,20,50,1
GHA,Central,7727720,Postneonatal mortality rate,52,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408002,1408020,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408002,1988,DHS,,,35,69,1
GHA,Greater Accra,7792674,Postneonatal mortality rate,17,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408003,1408030,Region,Greater Accra,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408003,1988,DHS,,,10,25,1
GHA,Volta (pre 2022),491812,Postneonatal mortality rate,30,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408004,1408040,Region,Volta (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408004,1988,DHS,,,18,43,1
GHA,Eastern,7578461,Postneonatal mortality rate,30,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408005,1408050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408005,1988,DHS,,,17,42,1
GHA,Ashanti,491670,Postneonatal mortality rate,24,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408006,1408060,Region,Ashanti,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408006,1988,DHS,,,17,32,1
GHA,Brong-Ahafo,7461522,Postneonatal mortality rate,25,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408007,1408070,Region,Brong-Ahafo,14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408007,1988,DHS,,,11,39,1
GHA,"Northern, Upper West, Upper East",7749123,Postneonatal mortality rate,59,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_PNR,63206020,I,408008,1408080,Region,"Northern, Upper West, Upper East",14003,Ten years preceding the survey,0,1,CMECMRCPNR,GHDHS1988408008,1988,DHS,,,42,75,1
GHA,Western (pre 2022),7677232,Infant mortality rate,74,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408001,1408010,Region,Western (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408001,1988,DHS,,,58,89,1
GHA,Central,486433,Infant mortality rate,139,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408002,1408020,Region,Central,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408002,1988,DHS,,,114,163,1
GHA,Greater Accra,7748671,Infant mortality rate,58,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408003,1408030,Region,Greater Accra,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408003,1988,DHS,,,43,73,1
GHA,Volta (pre 2022),491732,Infant mortality rate,74,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408004,1408040,Region,Volta (pre 2022),14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408004,1988,DHS,,,45,104,1
GHA,Eastern,7487689,Infant mortality rate,70,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408005,1408050,Region,Eastern,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408005,1988,DHS,,,52,87,1
GHA,Ashanti,7662145,Infant mortality rate,70,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408006,1408060,Region,Ashanti,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408006,1988,DHS,,,55,84,1
GHA,Brong-Ahafo,7459770,Infant mortality rate,65,0,GH,Ghana,1988,GH1988DHS,CM_ECMR_C_IMR,63206030,I,408007,1408070,Region,Brong-Ahafo,14003,Ten years preceding the survey,0,1,CMECMRCIMR,GHDHS1988408007,1988,DHS,,,48,81,1
