ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),3888598,Women with no education,27.4,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_NED,231203010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,EDEDUCWNED,GHDHS1993408001,1993,DHS,398,398,,,1
GHA,Central,7130397,Women with no education,30.1,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_NED,231203010,I,408002,1408020,Region,Central,0,,0,1,EDEDUCWNED,GHDHS1993408002,1993,DHS,438,438,,,1
GHA,Greater Accra,2660774,Women with no education,13.1,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_NED,231203010,I,408003,1408030,Region,Greater Accra,0,,0,1,EDEDUCWNED,GHDHS1993408003,1993,DHS,618,618,,,1
GHA,Volta (pre 2022),4972164,Women with no education,27.9,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_NED,231203010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,EDEDUCWNED,GHDHS1993408004,1993,DHS,491,491,,,1
GHA,Eastern,4281040,Women with no education,22.4,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_NED,231203010,I,408005,1408050,Region,Eastern,0,,0,1,EDEDUCWNED,GHDHS1993408005,1993,DHS,519,519,,,1
GHA,Ashanti,3128641,Women with no education,28.4,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_NED,231203010,I,408006,1408060,Region,Ashanti,0,,0,1,EDEDUCWNED,GHDHS1993408006,1993,DHS,750,750,,,1
GHA,Brong-Ahafo,6154906,Women with no education,27.9,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_NED,231203010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,EDEDUCWNED,GHDHS1993408007,1993,DHS,469,469,,,1
GHA,"Northern, Upper West, Upper East",3336291,Women with no education,77.1,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_NED,231203010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,EDEDUCWNED,GHDHS1993408008,1993,DHS,879,879,,,
GHA,Northern (pre 2022),5523332,Women with no education,81.1,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_NED,231203010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,EDEDUCWNED,GHDHS1993408009,1993,DHS,444,444,,,1
