ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),3888600,Women with secondary or higher education,9.5,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408001,1408010,Region,Western (pre 2022),0,,0,1,EDEDUCWSEH,GHDHS1993408001,1993,DHS,398,398,,,1
GHA,Central,7130394,Women with secondary or higher education,7.5,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408002,1408020,Region,Central,0,,0,1,EDEDUCWSEH,GHDHS1993408002,1993,DHS,438,438,,,1
GHA,Greater Accra,2660782,Women with secondary or higher education,28.2,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408003,1408030,Region,Greater Accra,0,,0,1,EDEDUCWSEH,GHDHS1993408003,1993,DHS,618,618,,,1
GHA,Volta (pre 2022),4972169,Women with secondary or higher education,7.1,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,EDEDUCWSEH,GHDHS1993408004,1993,DHS,491,491,,,1
GHA,Eastern,4281054,Women with secondary or higher education,10.6,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408005,1408050,Region,Eastern,0,,0,1,EDEDUCWSEH,GHDHS1993408005,1993,DHS,519,519,,,1
GHA,Ashanti,3128646,Women with secondary or higher education,7.7,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408006,1408060,Region,Ashanti,0,,0,1,EDEDUCWSEH,GHDHS1993408006,1993,DHS,750,750,,,1
GHA,Brong-Ahafo,6154908,Women with secondary or higher education,6.8,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,EDEDUCWSEH,GHDHS1993408007,1993,DHS,469,469,,,1
GHA,"Northern, Upper West, Upper East",3336309,Women with secondary or higher education,4.9,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,EDEDUCWSEH,GHDHS1993408008,1993,DHS,879,879,,,
GHA,Northern (pre 2022),5523347,Women with secondary or higher education,3.4,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,EDEDUCWSEH,GHDHS1993408009,1993,DHS,444,444,,,1
GHA,Upper West,2625216,Women with secondary or higher education,3.1,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408010,1408100,Region,..Upper West,0,,0,1,EDEDUCWSEH,GHDHS1993408010,1993,DHS,159,159,,,1
GHA,Upper East,4567852,Women with secondary or higher education,8.3,1,GH,Ghana,1993,GH1993DHS,ED_EDUC_W_SEH,231203100,I,408011,1408110,Region,..Upper East,0,,0,1,EDEDUCWSEH,GHDHS1993408011,1993,DHS,276,276,,,1
