ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),3866342,Households with at least one insecticide-treated mosquito net (ITN),2.3,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,MLNETPHITN,GHDHS2003408001,2003,DHS,612,580,,,1
GHA,Central,1989863,Households with at least one insecticide-treated mosquito net (ITN),2.5,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408002,1408020,Region,Central,0,,0,1,MLNETPHITN,GHDHS2003408002,2003,DHS,587,481,,,1
GHA,Greater Accra,5661503,Households with at least one insecticide-treated mosquito net (ITN),2.2,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408003,1408030,Region,Greater Accra,0,,0,1,MLNETPHITN,GHDHS2003408003,2003,DHS,890,842,,,1
GHA,Volta (pre 2022),4234568,Households with at least one insecticide-treated mosquito net (ITN),2.7,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,MLNETPHITN,GHDHS2003408004,2003,DHS,538,490,,,1
GHA,Eastern,4784318,Households with at least one insecticide-treated mosquito net (ITN),0.7,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408005,1408050,Region,Eastern,0,,0,1,MLNETPHITN,GHDHS2003408005,2003,DHS,732,629,,,1
GHA,Ashanti,3161482,Households with at least one insecticide-treated mosquito net (ITN),2.1,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408006,1408060,Region,Ashanti,0,,0,1,MLNETPHITN,GHDHS2003408006,2003,DHS,1313,1069,,,1
GHA,Brong-Ahafo,7445754,Households with at least one insecticide-treated mosquito net (ITN),2.9,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,MLNETPHITN,GHDHS2003408007,2003,DHS,665,732,,,1
GHA,"Northern, Upper West, Upper East",6014176,Households with at least one insecticide-treated mosquito net (ITN),14,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,MLNETPHITN,GHDHS2003408008,2003,DHS,914,1428,,,
GHA,Northern (pre 2022),3405750,Households with at least one insecticide-treated mosquito net (ITN),8.5,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,MLNETPHITN,GHDHS2003408009,2003,DHS,487,591,,,1
GHA,Upper West,4003928,Households with at least one insecticide-treated mosquito net (ITN),5.5,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408010,1408100,Region,..Upper West,0,,0,1,MLNETPHITN,GHDHS2003408010,2003,DHS,147,456,,,1
GHA,Upper East,4093732,Households with at least one insecticide-treated mosquito net (ITN),28,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_ITN,124661020,I,408011,1408110,Region,..Upper East,0,,0,1,MLNETPHITN,GHDHS2003408011,2003,DHS,280,381,,,1
GHA,Western (pre 2022),1385361,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,0.7,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_IT2,124661100,I,408001,1408010,Region,Western (pre 2022),0,,0,1,MLNETPHIT2,GHDHS2003408001,2003,DHS,607,576,,,1
GHA,Central,3476029,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,1.5,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_IT2,124661100,I,408002,1408020,Region,Central,0,,0,1,MLNETPHIT2,GHDHS2003408002,2003,DHS,585,478,,,1
GHA,Greater Accra,4255170,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,0.7,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_IT2,124661100,I,408003,1408030,Region,Greater Accra,0,,0,1,MLNETPHIT2,GHDHS2003408003,2003,DHS,885,837,,,1
GHA,Volta (pre 2022),4400660,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,0.7,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_IT2,124661100,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,MLNETPHIT2,GHDHS2003408004,2003,DHS,533,487,,,1
GHA,Eastern,1128844,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,0.2,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_IT2,124661100,I,408005,1408050,Region,Eastern,0,,0,1,MLNETPHIT2,GHDHS2003408005,2003,DHS,727,625,,,1
GHA,Ashanti,6972587,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,0.6,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_IT2,124661100,I,408006,1408060,Region,Ashanti,0,,0,1,MLNETPHIT2,GHDHS2003408006,2003,DHS,1304,1062,,,1
GHA,Brong-Ahafo,7445381,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,1,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_IT2,124661100,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,MLNETPHIT2,GHDHS2003408007,2003,DHS,661,728,,,1
GHA,"Northern, Upper West, Upper East",1135407,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,2.8,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_IT2,124661100,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,MLNETPHIT2,GHDHS2003408008,2003,DHS,910,1422,,,
GHA,Northern (pre 2022),7367598,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,1.4,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_IT2,124661100,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,MLNETPHIT2,GHDHS2003408009,2003,DHS,485,588,,,1
GHA,Upper West,1128824,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,1.5,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_IT2,124661100,I,408010,1408100,Region,..Upper West,0,,0,1,MLNETPHIT2,GHDHS2003408010,2003,DHS,145,453,,,1
GHA,Upper East,5395503,Households with at least one insecticide-treated mosquito net (ITN) for every two persons who stayed in the household the previous night,6,1,GH,Ghana,2003,GH2003DHS,ML_NETP_H_IT2,124661100,I,408011,1408110,Region,..Upper East,0,,0,1,MLNETPHIT2,GHDHS2003408011,2003,DHS,280,381,,,1
GHA,Western (pre 2022),4549310,Persons with access to an insecticide-treated mosquito net (ITN),1.3,1,GH,Ghana,2003,GH2003DHS,ML_ITNA_P_ACC,124732130,I,408001,1408010,Region,Western (pre 2022),0,,0,1,MLITNAPACC,GHDHS2003408001,2003,DHS,2185,2102,,,1
GHA,Central,3590803,Persons with access to an insecticide-treated mosquito net (ITN),1.5,1,GH,Ghana,2003,GH2003DHS,ML_ITNA_P_ACC,124732130,I,408002,1408020,Region,Central,0,,0,1,MLITNAPACC,GHDHS2003408002,2003,DHS,1984,1618,,,1
GHA,Greater Accra,2250312,Persons with access to an insecticide-treated mosquito net (ITN),1.4,1,GH,Ghana,2003,GH2003DHS,ML_ITNA_P_ACC,124732130,I,408003,1408030,Region,Greater Accra,0,,0,1,MLITNAPACC,GHDHS2003408003,2003,DHS,3186,3016,,,1
GHA,Volta (pre 2022),5841273,Persons with access to an insecticide-treated mosquito net (ITN),1.9,1,GH,Ghana,2003,GH2003DHS,ML_ITNA_P_ACC,124732130,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,MLITNAPACC,GHDHS2003408004,2003,DHS,2198,1986,,,1
GHA,Eastern,2237247,Persons with access to an insecticide-treated mosquito net (ITN),0.4,1,GH,Ghana,2003,GH2003DHS,ML_ITNA_P_ACC,124732130,I,408005,1408050,Region,Eastern,0,,0,1,MLITNAPACC,GHDHS2003408005,2003,DHS,2652,2311,,,1
GHA,Ashanti,6828960,Persons with access to an insecticide-treated mosquito net (ITN),1.2,1,GH,Ghana,2003,GH2003DHS,ML_ITNA_P_ACC,124732130,I,408006,1408060,Region,Ashanti,0,,0,1,MLITNAPACC,GHDHS2003408006,2003,DHS,4697,3877,,,1
GHA,Brong-Ahafo,7444725,Persons with access to an insecticide-treated mosquito net (ITN),1.8,1,GH,Ghana,2003,GH2003DHS,ML_ITNA_P_ACC,124732130,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,MLITNAPACC,GHDHS2003408007,2003,DHS,2535,2855,,,1
GHA,"Northern, Upper West, Upper East",5302556,Persons with access to an insecticide-treated mosquito net (ITN),6.4,1,GH,Ghana,2003,GH2003DHS,ML_ITNA_P_ACC,124732130,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,MLITNAPACC,GHDHS2003408008,2003,DHS,4927,7733,,,
GHA,Northern (pre 2022),7225215,Persons with access to an insecticide-treated mosquito net (ITN),3.8,1,GH,Ghana,2003,GH2003DHS,ML_ITNA_P_ACC,124732130,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,MLITNAPACC,GHDHS2003408009,2003,DHS,2609,3277,,,1
GHA,Upper West,1128827,Persons with access to an insecticide-treated mosquito net (ITN),2.5,1,GH,Ghana,2003,GH2003DHS,ML_ITNA_P_ACC,124732130,I,408010,1408100,Region,..Upper West,0,,0,1,MLITNAPACC,GHDHS2003408010,2003,DHS,735,2336,,,1
GHA,Upper East,3481280,Persons with access to an insecticide-treated mosquito net (ITN),12.6,1,GH,Ghana,2003,GH2003DHS,ML_ITNA_P_ACC,124732130,I,408011,1408110,Region,..Upper East,0,,0,1,MLITNAPACC,GHDHS2003408011,2003,DHS,1583,2120,,,1
GHA,Western (pre 2022),6925804,Population who slept under an insecticide-treated mosquito net (ITN) last night,1.1,1,GH,Ghana,2003,GH2003DHS,ML_NETU_P_ITN,124762020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,MLNETUPITN,GHDHS2003408001,2003,DHS,2185,2102,,,1
