ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),5723116,Recent sexual activity: Active in last 4 weeks,42.1,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_4WK,51733010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,SXLSEXW4WK,GHDHS1988408001,1988,DHS,392,392,,,1
GHA,Central,5298750,Recent sexual activity: Active in last 4 weeks,34.5,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_4WK,51733010,I,408002,1408020,Region,Central,0,,0,1,SXLSEXW4WK,GHDHS1988408002,1988,DHS,464,464,,,1
GHA,Greater Accra,140943,Recent sexual activity: Active in last 4 weeks,40,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_4WK,51733010,I,408003,1408030,Region,Greater Accra,0,,0,1,SXLSEXW4WK,GHDHS1988408003,1988,DHS,598,598,,,1
GHA,Volta (pre 2022),4505362,Recent sexual activity: Active in last 4 weeks,31,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_4WK,51733010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,SXLSEXW4WK,GHDHS1988408004,1988,DHS,500,500,,,1
GHA,Eastern,122683,Recent sexual activity: Active in last 4 weeks,37,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_4WK,51733010,I,408005,1408050,Region,Eastern,0,,0,1,SXLSEXW4WK,GHDHS1988408005,1988,DHS,703,703,,,1
GHA,Ashanti,7337638,Recent sexual activity: Active in last 4 weeks,39.4,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_4WK,51733010,I,408006,1408060,Region,Ashanti,0,,0,1,SXLSEXW4WK,GHDHS1988408006,1988,DHS,823,823,,,1
GHA,Brong-Ahafo,2677800,Recent sexual activity: Active in last 4 weeks,51.2,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_4WK,51733010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,SXLSEXW4WK,GHDHS1988408007,1988,DHS,500,500,,,1
GHA,"Northern, Upper West, Upper East",3767269,Recent sexual activity: Active in last 4 weeks,25,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_4WK,51733010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,SXLSEXW4WK,GHDHS1988408008,1988,DHS,508,508,,,1
GHA,Western (pre 2022),5723117,Recent sexual activity [Women]: Within the last year,30.1,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1YR,51733020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,SXLSEXW1YR,GHDHS1988408001,1988,DHS,392,392,,,1
GHA,Central,5298751,Recent sexual activity [Women]: Within the last year,30,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1YR,51733020,I,408002,1408020,Region,Central,0,,0,1,SXLSEXW1YR,GHDHS1988408002,1988,DHS,464,464,,,1
GHA,Greater Accra,140944,Recent sexual activity [Women]: Within the last year,27.8,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1YR,51733020,I,408003,1408030,Region,Greater Accra,0,,0,1,SXLSEXW1YR,GHDHS1988408003,1988,DHS,598,598,,,1
GHA,Volta (pre 2022),4505363,Recent sexual activity [Women]: Within the last year,26.6,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1YR,51733020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,SXLSEXW1YR,GHDHS1988408004,1988,DHS,500,500,,,1
GHA,Eastern,122684,Recent sexual activity [Women]: Within the last year,26.6,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1YR,51733020,I,408005,1408050,Region,Eastern,0,,0,1,SXLSEXW1YR,GHDHS1988408005,1988,DHS,703,703,,,1
GHA,Ashanti,7337639,Recent sexual activity [Women]: Within the last year,23.5,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1YR,51733020,I,408006,1408060,Region,Ashanti,0,,0,1,SXLSEXW1YR,GHDHS1988408006,1988,DHS,823,823,,,1
GHA,Brong-Ahafo,2677801,Recent sexual activity [Women]: Within the last year,17.4,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1YR,51733020,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,SXLSEXW1YR,GHDHS1988408007,1988,DHS,500,500,,,1
GHA,"Northern, Upper West, Upper East",3767270,Recent sexual activity [Women]: Within the last year,14,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1YR,51733020,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,SXLSEXW1YR,GHDHS1988408008,1988,DHS,508,508,,,1
GHA,Western (pre 2022),5723118,Recent sexual activity [Women]: One or more years ago,2,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1PY,51733030,I,408001,1408010,Region,Western (pre 2022),0,,0,1,SXLSEXW1PY,GHDHS1988408001,1988,DHS,392,392,,,1
GHA,Central,5298752,Recent sexual activity [Women]: One or more years ago,4.5,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1PY,51733030,I,408002,1408020,Region,Central,0,,0,1,SXLSEXW1PY,GHDHS1988408002,1988,DHS,464,464,,,1
GHA,Greater Accra,140945,Recent sexual activity [Women]: One or more years ago,6.2,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1PY,51733030,I,408003,1408030,Region,Greater Accra,0,,0,1,SXLSEXW1PY,GHDHS1988408003,1988,DHS,598,598,,,1
GHA,Volta (pre 2022),4505364,Recent sexual activity [Women]: One or more years ago,2.8,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1PY,51733030,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,SXLSEXW1PY,GHDHS1988408004,1988,DHS,500,500,,,1
GHA,Eastern,122685,Recent sexual activity [Women]: One or more years ago,5,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1PY,51733030,I,408005,1408050,Region,Eastern,0,,0,1,SXLSEXW1PY,GHDHS1988408005,1988,DHS,703,703,,,1
GHA,Ashanti,7337640,Recent sexual activity [Women]: One or more years ago,5.5,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1PY,51733030,I,408006,1408060,Region,Ashanti,0,,0,1,SXLSEXW1PY,GHDHS1988408006,1988,DHS,823,823,,,1
GHA,Brong-Ahafo,2677802,Recent sexual activity [Women]: One or more years ago,3,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1PY,51733030,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,SXLSEXW1PY,GHDHS1988408007,1988,DHS,500,500,,,1
GHA,"Northern, Upper West, Upper East",3767271,Recent sexual activity [Women]: One or more years ago,4.9,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_1PY,51733030,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,SXLSEXW1PY,GHDHS1988408008,1988,DHS,508,508,,,1
GHA,Western (pre 2022),5723119,Recent sexual activity [Women]: Missing,17.6,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_MIS,51733040,S,408001,1408010,Region,Western (pre 2022),0,,0,1,SXLSEXWMIS,GHDHS1988408001,1988,DHS,392,392,,,1
GHA,Central,5298753,Recent sexual activity [Women]: Missing,22.8,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_MIS,51733040,S,408002,1408020,Region,Central,0,,0,1,SXLSEXWMIS,GHDHS1988408002,1988,DHS,464,464,,,1
GHA,Greater Accra,140946,Recent sexual activity [Women]: Missing,11,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_MIS,51733040,S,408003,1408030,Region,Greater Accra,0,,0,1,SXLSEXWMIS,GHDHS1988408003,1988,DHS,598,598,,,1
GHA,Volta (pre 2022),4505377,Recent sexual activity [Women]: Missing,29,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_MIS,51733040,S,408004,1408040,Region,Volta (pre 2022),0,,0,1,SXLSEXWMIS,GHDHS1988408004,1988,DHS,500,500,,,1
GHA,Eastern,122686,Recent sexual activity [Women]: Missing,21.5,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_MIS,51733040,S,408005,1408050,Region,Eastern,0,,0,1,SXLSEXWMIS,GHDHS1988408005,1988,DHS,703,703,,,1
GHA,Ashanti,7337641,Recent sexual activity [Women]: Missing,17.5,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_MIS,51733040,S,408006,1408060,Region,Ashanti,0,,0,1,SXLSEXWMIS,GHDHS1988408006,1988,DHS,823,823,,,1
GHA,Brong-Ahafo,2677803,Recent sexual activity [Women]: Missing,21.4,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_MIS,51733040,S,408007,1408070,Region,Brong-Ahafo,0,,0,1,SXLSEXWMIS,GHDHS1988408007,1988,DHS,500,500,,,1
GHA,"Northern, Upper West, Upper East",3767272,Recent sexual activity [Women]: Missing,49.8,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_MIS,51733040,S,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,SXLSEXWMIS,GHDHS1988408008,1988,DHS,508,508,,,1
GHA,Western (pre 2022),5723132,Recent sexual activity: Never had sex,8.2,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_NSX,51733050,I,408001,1408010,Region,Western (pre 2022),0,,0,1,SXLSEXWNSX,GHDHS1988408001,1988,DHS,392,392,,,1
GHA,Central,5298754,Recent sexual activity: Never had sex,8.2,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_NSX,51733050,I,408002,1408020,Region,Central,0,,0,1,SXLSEXWNSX,GHDHS1988408002,1988,DHS,464,464,,,1
GHA,Greater Accra,140938,Recent sexual activity: Never had sex,15.1,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_NSX,51733050,I,408003,1408030,Region,Greater Accra,0,,0,1,SXLSEXWNSX,GHDHS1988408003,1988,DHS,598,598,,,1
GHA,Volta (pre 2022),4505378,Recent sexual activity: Never had sex,10.6,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_NSX,51733050,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,SXLSEXWNSX,GHDHS1988408004,1988,DHS,500,500,,,1
GHA,Eastern,122675,Recent sexual activity: Never had sex,10,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_NSX,51733050,I,408005,1408050,Region,Eastern,0,,0,1,SXLSEXWNSX,GHDHS1988408005,1988,DHS,703,703,,,1
GHA,Ashanti,7337637,Recent sexual activity: Never had sex,14.2,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_NSX,51733050,I,408006,1408060,Region,Ashanti,0,,0,1,SXLSEXWNSX,GHDHS1988408006,1988,DHS,823,823,,,1
GHA,Brong-Ahafo,2677799,Recent sexual activity: Never had sex,7,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_NSX,51733050,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,SXLSEXWNSX,GHDHS1988408007,1988,DHS,500,500,,,1
GHA,"Northern, Upper West, Upper East",3767268,Recent sexual activity: Never had sex,6.3,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_NSX,51733050,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,SXLSEXWNSX,GHDHS1988408008,1988,DHS,508,508,,,1
GHA,Western (pre 2022),5723134,Women: Total,100,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_TOT,51733060,T,408001,1408010,Region,Western (pre 2022),0,,0,1,SXLSEXWTOT,GHDHS1988408001,1988,DHS,392,392,,,1
GHA,Central,5298828,Women: Total,100,1,GH,Ghana,1988,GH1988DHS,SX_LSEX_W_TOT,51733060,T,408002,1408020,Region,Central,0,,0,1,SXLSEXWTOT,GHDHS1988408002,1988,DHS,464,464,,,1
