ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),6147848,Children with symptoms of ARI,6.4,1,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_ARI,93966010,I,408001,1408010,Region,Western (pre 2022),14000,Three years preceding the survey,0,0,CHARISCARI,GHDHS1993408001,1993,DHS,187,187,,,1
GHA,Central,3173136,Children with symptoms of ARI,4.2,1,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_ARI,93966010,I,408002,1408020,Region,Central,14000,Three years preceding the survey,0,0,CHARISCARI,GHDHS1993408002,1993,DHS,213,213,,,1
GHA,Greater Accra,5483500,Children with symptoms of ARI,9.6,1,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_ARI,93966010,I,408003,1408030,Region,Greater Accra,14000,Three years preceding the survey,0,0,CHARISCARI,GHDHS1993408003,1993,DHS,188,188,,,1
GHA,Volta (pre 2022),1482167,Children with symptoms of ARI,14.2,1,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_ARI,93966010,I,408004,1408040,Region,Volta (pre 2022),14000,Three years preceding the survey,0,0,CHARISCARI,GHDHS1993408004,1993,DHS,226,226,,,1
GHA,Eastern,4168447,Children with symptoms of ARI,5.4,1,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_ARI,93966010,I,408005,1408050,Region,Eastern,14000,Three years preceding the survey,0,0,CHARISCARI,GHDHS1993408005,1993,DHS,222,222,,,1
GHA,Ashanti,6640830,Children with symptoms of ARI,8.4,1,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_ARI,93966010,I,408006,1408060,Region,Ashanti,14000,Three years preceding the survey,0,0,CHARISCARI,GHDHS1993408006,1993,DHS,379,379,,,1
GHA,Brong-Ahafo,2841151,Children with symptoms of ARI,9,1,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_ARI,93966010,I,408007,1408070,Region,Brong-Ahafo,14000,Three years preceding the survey,0,0,CHARISCARI,GHDHS1993408007,1993,DHS,200,200,,,1
GHA,"Northern, Upper West, Upper East",5094717,Children with symptoms of ARI,17,1,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_ARI,93966010,I,408008,1408080,Region,"Northern, Upper West, Upper East",14000,Three years preceding the survey,0,0,CHARISCARI,GHDHS1993408008,1993,DHS,441,441,,,
GHA,Northern (pre 2022),2975382,Children with symptoms of ARI,15.9,1,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_ARI,93966010,I,408009,1408090,Region,..Northern (pre 2022),14000,Three years preceding the survey,0,0,CHARISCARI,GHDHS1993408009,1993,DHS,227,227,,,1
GHA,Upper West,4490494,Children with symptoms of ARI,7,1,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_ARI,93966010,I,408010,1408100,Region,..Upper West,14000,Three years preceding the survey,0,0,CHARISCARI,GHDHS1993408010,1993,DHS,71,71,,,1
GHA,Upper East,2900323,Children with symptoms of ARI,23.8,1,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_ARI,93966010,I,408011,1408110,Region,..Upper East,14000,Three years preceding the survey,0,0,CHARISCARI,GHDHS1993408011,1993,DHS,143,143,,,1
GHA,Western (pre 2022),6174994,Number of children born in the last five (or three) years,187,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_NUM,93966020,D,408001,1408010,Region,Western (pre 2022),14000,Three years preceding the survey,0,0,CHARISCNUM,GHDHS1993408001,1993,DHS,,187,,,1
GHA,Central,817238,Number of children born in the last five (or three) years,213,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_NUM,93966020,D,408002,1408020,Region,Central,14000,Three years preceding the survey,0,0,CHARISCNUM,GHDHS1993408002,1993,DHS,,213,,,1
GHA,Greater Accra,5510640,Number of children born in the last five (or three) years,188,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_NUM,93966020,D,408003,1408030,Region,Greater Accra,14000,Three years preceding the survey,0,0,CHARISCNUM,GHDHS1993408003,1993,DHS,,188,,,1
GHA,Volta (pre 2022),835747,Number of children born in the last five (or three) years,226,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_NUM,93966020,D,408004,1408040,Region,Volta (pre 2022),14000,Three years preceding the survey,0,0,CHARISCNUM,GHDHS1993408004,1993,DHS,,226,,,1
GHA,Eastern,4280032,Number of children born in the last five (or three) years,222,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_NUM,93966020,D,408005,1408050,Region,Eastern,14000,Three years preceding the survey,0,0,CHARISCNUM,GHDHS1993408005,1993,DHS,,222,,,1
GHA,Ashanti,6676691,Number of children born in the last five (or three) years,379,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_NUM,93966020,D,408006,1408060,Region,Ashanti,14000,Three years preceding the survey,0,0,CHARISCNUM,GHDHS1993408006,1993,DHS,,379,,,1
GHA,Brong-Ahafo,823818,Number of children born in the last five (or three) years,200,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_NUM,93966020,D,408007,1408070,Region,Brong-Ahafo,14000,Three years preceding the survey,0,0,CHARISCNUM,GHDHS1993408007,1993,DHS,,200,,,1
GHA,"Northern, Upper West, Upper East",5094718,Number of children born in the last five (or three) years,441,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_NUM,93966020,D,408008,1408080,Region,"Northern, Upper West, Upper East",14000,Three years preceding the survey,0,0,CHARISCNUM,GHDHS1993408008,1993,DHS,,441,,,
GHA,Northern (pre 2022),835768,Number of children born in the last five (or three) years,227,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_NUM,93966020,D,408009,1408090,Region,..Northern (pre 2022),14000,Three years preceding the survey,0,0,CHARISCNUM,GHDHS1993408009,1993,DHS,,227,,,1
GHA,Upper West,4490495,Number of children born in the last five (or three) years,71,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_NUM,93966020,D,408010,1408100,Region,..Upper West,14000,Three years preceding the survey,0,0,CHARISCNUM,GHDHS1993408010,1993,DHS,,71,,,1
GHA,Upper East,835754,Number of children born in the last five (or three) years,143,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_NUM,93966020,D,408011,1408110,Region,..Upper East,14000,Three years preceding the survey,0,0,CHARISCNUM,GHDHS1993408011,1993,DHS,,143,,,1
GHA,Western (pre 2022),2207939,Number of children born in the last five (or three) years (unweighted),187,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_UNW,93966030,U,408001,1408010,Region,Western (pre 2022),14000,Three years preceding the survey,0,0,CHARISCUNW,GHDHS1993408001,1993,DHS,187,,,,1
GHA,Central,3173137,Number of children born in the last five (or three) years (unweighted),213,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_UNW,93966030,U,408002,1408020,Region,Central,14000,Three years preceding the survey,0,0,CHARISCUNW,GHDHS1993408002,1993,DHS,213,,,,1
GHA,Greater Accra,2204126,Number of children born in the last five (or three) years (unweighted),188,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_UNW,93966030,U,408003,1408030,Region,Greater Accra,14000,Three years preceding the survey,0,0,CHARISCUNW,GHDHS1993408003,1993,DHS,188,,,,1
GHA,Volta (pre 2022),1482168,Number of children born in the last five (or three) years (unweighted),226,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_UNW,93966030,U,408004,1408040,Region,Volta (pre 2022),14000,Three years preceding the survey,0,0,CHARISCUNW,GHDHS1993408004,1993,DHS,226,,,,1
GHA,Eastern,3406512,Number of children born in the last five (or three) years (unweighted),222,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_UNW,93966030,U,408005,1408050,Region,Eastern,14000,Three years preceding the survey,0,0,CHARISCUNW,GHDHS1993408005,1993,DHS,222,,,,1
GHA,Ashanti,1495139,Number of children born in the last five (or three) years (unweighted),379,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_UNW,93966030,U,408006,1408060,Region,Ashanti,14000,Three years preceding the survey,0,0,CHARISCUNW,GHDHS1993408006,1993,DHS,379,,,,1
GHA,Brong-Ahafo,2841148,Number of children born in the last five (or three) years (unweighted),200,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_UNW,93966030,U,408007,1408070,Region,Brong-Ahafo,14000,Three years preceding the survey,0,0,CHARISCUNW,GHDHS1993408007,1993,DHS,200,,,,1
GHA,"Northern, Upper West, Upper East",830496,Number of children born in the last five (or three) years (unweighted),441,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_UNW,93966030,U,408008,1408080,Region,"Northern, Upper West, Upper East",14000,Three years preceding the survey,0,0,CHARISCUNW,GHDHS1993408008,1993,DHS,441,,,,
GHA,Northern (pre 2022),2975383,Number of children born in the last five (or three) years (unweighted),227,0,GH,Ghana,1993,GH1993DHS,CH_ARIS_C_UNW,93966030,U,408009,1408090,Region,..Northern (pre 2022),14000,Three years preceding the survey,0,0,CHARISCUNW,GHDHS1993408009,1993,DHS,227,,,,1
