ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),3625064,Households with an improved sanitation facility,19.4,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,WSTLETHIMP,GHDHS1993408001,1993,DHS,545,545,,,1
GHA,Central,2291567,Households with an improved sanitation facility,11.5,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408002,1408020,Region,Central,0,,0,1,WSTLETHIMP,GHDHS1993408002,1993,DHS,670,670,,,1
GHA,Greater Accra,5861026,Households with an improved sanitation facility,46.4,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408003,1408030,Region,Greater Accra,0,,0,1,WSTLETHIMP,GHDHS1993408003,1993,DHS,698,698,,,1
GHA,Volta (pre 2022),7083727,Households with an improved sanitation facility,13.3,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,WSTLETHIMP,GHDHS1993408004,1993,DHS,519,519,,,1
GHA,Eastern,2094077,Households with an improved sanitation facility,21.3,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408005,1408050,Region,Eastern,0,,0,1,WSTLETHIMP,GHDHS1993408005,1993,DHS,773,773,,,1
GHA,Ashanti,4588836,Households with an improved sanitation facility,26.5,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408006,1408060,Region,Ashanti,0,,0,1,WSTLETHIMP,GHDHS1993408006,1993,DHS,1079,1079,,,1
GHA,Brong-Ahafo,2308351,Households with an improved sanitation facility,19.6,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,WSTLETHIMP,GHDHS1993408007,1993,DHS,586,586,,,1
GHA,"Northern, Upper West, Upper East",5891457,Households with an improved sanitation facility,6.8,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,WSTLETHIMP,GHDHS1993408008,1993,DHS,952,952,,,
GHA,Northern (pre 2022),2634022,Households with an improved sanitation facility,3.4,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,WSTLETHIMP,GHDHS1993408009,1993,DHS,468,468,,,1
GHA,Upper West,1855617,Households with an improved sanitation facility,13.2,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408010,1408100,Region,..Upper West,0,,0,1,WSTLETHIMP,GHDHS1993408010,1993,DHS,174,174,,,1
GHA,Upper East,5438381,Households with an improved sanitation facility,8.4,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_IMP,250261010,I,408011,1408110,Region,..Upper East,0,,0,1,WSTLETHIMP,GHDHS1993408011,1993,DHS,310,310,,,1
GHA,Western (pre 2022),3625116,Households with a ventilated improved pit latrine (VIP),12.5,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_VIP,250261050,I,408001,1408010,Region,Western (pre 2022),0,,0,1,WSTLETHVIP,GHDHS1993408001,1993,DHS,545,545,,,1
GHA,Central,2291571,Households with a ventilated improved pit latrine (VIP),9.1,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_VIP,250261050,I,408002,1408020,Region,Central,0,,0,1,WSTLETHVIP,GHDHS1993408002,1993,DHS,670,670,,,1
GHA,Greater Accra,5860971,Households with a ventilated improved pit latrine (VIP),20.2,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_VIP,250261050,I,408003,1408030,Region,Greater Accra,0,,0,1,WSTLETHVIP,GHDHS1993408003,1993,DHS,698,698,,,1
GHA,Volta (pre 2022),7083736,Households with a ventilated improved pit latrine (VIP),12.7,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_VIP,250261050,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,WSTLETHVIP,GHDHS1993408004,1993,DHS,519,519,,,1
GHA,Eastern,2094080,Households with a ventilated improved pit latrine (VIP),17.3,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_VIP,250261050,I,408005,1408050,Region,Eastern,0,,0,1,WSTLETHVIP,GHDHS1993408005,1993,DHS,773,773,,,1
GHA,Ashanti,4588840,Households with a ventilated improved pit latrine (VIP),21.7,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_VIP,250261050,I,408006,1408060,Region,Ashanti,0,,0,1,WSTLETHVIP,GHDHS1993408006,1993,DHS,1079,1079,,,1
GHA,Brong-Ahafo,2308352,Households with a ventilated improved pit latrine (VIP),18.1,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_VIP,250261050,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,WSTLETHVIP,GHDHS1993408007,1993,DHS,586,586,,,1
GHA,"Northern, Upper West, Upper East",5891461,Households with a ventilated improved pit latrine (VIP),4,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_VIP,250261050,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,WSTLETHVIP,GHDHS1993408008,1993,DHS,952,952,,,
GHA,Northern (pre 2022),2634021,Households with a ventilated improved pit latrine (VIP),3,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_VIP,250261050,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,WSTLETHVIP,GHDHS1993408009,1993,DHS,468,468,,,1
GHA,Upper West,1855615,Households with a ventilated improved pit latrine (VIP),11.5,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_VIP,250261050,I,408010,1408100,Region,..Upper West,0,,0,1,WSTLETHVIP,GHDHS1993408010,1993,DHS,174,174,,,1
GHA,Upper East,5438246,Households with a ventilated improved pit latrine (VIP),1.3,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_VIP,250261050,I,408011,1408110,Region,..Upper East,0,,0,1,WSTLETHVIP,GHDHS1993408011,1993,DHS,310,310,,,1
GHA,Western (pre 2022),3625130,Households with an unimproved sanitation facility,65.3,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NIM,250261150,I,408001,1408010,Region,Western (pre 2022),0,,0,1,WSTLETHNIM,GHDHS1993408001,1993,DHS,545,545,,,1
GHA,Central,2291624,Households with an unimproved sanitation facility,69.3,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NIM,250261150,I,408002,1408020,Region,Central,0,,0,1,WSTLETHNIM,GHDHS1993408002,1993,DHS,670,670,,,1
GHA,Greater Accra,5860975,Households with an unimproved sanitation facility,44.4,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NIM,250261150,I,408003,1408030,Region,Greater Accra,0,,0,1,WSTLETHNIM,GHDHS1993408003,1993,DHS,698,698,,,1
GHA,Volta (pre 2022),7083738,Households with an unimproved sanitation facility,62.4,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NIM,250261150,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,WSTLETHNIM,GHDHS1993408004,1993,DHS,519,519,,,1
GHA,Eastern,2094090,Households with an unimproved sanitation facility,73.6,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NIM,250261150,I,408005,1408050,Region,Eastern,0,,0,1,WSTLETHNIM,GHDHS1993408005,1993,DHS,773,773,,,1
GHA,Ashanti,4588855,Households with an unimproved sanitation facility,68.1,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NIM,250261150,I,408006,1408060,Region,Ashanti,0,,0,1,WSTLETHNIM,GHDHS1993408006,1993,DHS,1079,1079,,,1
GHA,Brong-Ahafo,2308357,Households with an unimproved sanitation facility,73.7,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NIM,250261150,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,WSTLETHNIM,GHDHS1993408007,1993,DHS,586,586,,,1
GHA,"Northern, Upper West, Upper East",5891536,Households with an unimproved sanitation facility,11.3,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NIM,250261150,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,WSTLETHNIM,GHDHS1993408008,1993,DHS,952,952,,,
GHA,Northern (pre 2022),2634024,Households with an unimproved sanitation facility,16.7,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NIM,250261150,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,WSTLETHNIM,GHDHS1993408009,1993,DHS,468,468,,,1
GHA,Upper West,1855625,Households with an unimproved sanitation facility,12.1,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NIM,250261150,I,408010,1408100,Region,..Upper West,0,,0,1,WSTLETHNIM,GHDHS1993408010,1993,DHS,174,174,,,1
GHA,Upper East,5438248,Households with an unimproved sanitation facility,2.9,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NIM,250261150,I,408011,1408110,Region,..Upper East,0,,0,1,WSTLETHNIM,GHDHS1993408011,1993,DHS,310,310,,,1
GHA,Western (pre 2022),3625129,Households with a pit latrine without a slab or an open pit,59.3,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NPT,250261180,I,408001,1408010,Region,Western (pre 2022),0,,0,1,WSTLETHNPT,GHDHS1993408001,1993,DHS,545,545,,,1
GHA,Central,2291572,Households with a pit latrine without a slab or an open pit,60.6,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NPT,250261180,I,408002,1408020,Region,Central,0,,0,1,WSTLETHNPT,GHDHS1993408002,1993,DHS,670,670,,,1
GHA,Greater Accra,5860974,Households with a pit latrine without a slab or an open pit,31.9,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NPT,250261180,I,408003,1408030,Region,Greater Accra,0,,0,1,WSTLETHNPT,GHDHS1993408003,1993,DHS,698,698,,,1
GHA,Volta (pre 2022),7083735,Households with a pit latrine without a slab or an open pit,57.6,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NPT,250261180,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,WSTLETHNPT,GHDHS1993408004,1993,DHS,519,519,,,1
GHA,Eastern,2094089,Households with a pit latrine without a slab or an open pit,61.7,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NPT,250261180,I,408005,1408050,Region,Eastern,0,,0,1,WSTLETHNPT,GHDHS1993408005,1993,DHS,773,773,,,1
GHA,Ashanti,4588835,Households with a pit latrine without a slab or an open pit,60.1,1,GH,Ghana,1993,GH1993DHS,WS_TLET_H_NPT,250261180,I,408006,1408060,Region,Ashanti,0,,0,1,WSTLETHNPT,GHDHS1993408006,1993,DHS,1079,1079,,,1
