ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),1842571,Households using an improved water source,38.7,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_IMP,250161010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,WSSRCEHIMP,GHDHS1993408001,1993,DHS,545,545,,,1
GHA,Central,7100983,Households using an improved water source,66,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_IMP,250161010,I,408002,1408020,Region,Central,0,,0,1,WSSRCEHIMP,GHDHS1993408002,1993,DHS,670,670,,,1
GHA,Greater Accra,5005051,Households using an improved water source,92.4,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_IMP,250161010,I,408003,1408030,Region,Greater Accra,0,,0,1,WSSRCEHIMP,GHDHS1993408003,1993,DHS,698,698,,,1
GHA,Volta (pre 2022),1855477,Households using an improved water source,42.4,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_IMP,250161010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,WSSRCEHIMP,GHDHS1993408004,1993,DHS,519,519,,,1
GHA,Eastern,2471593,Households using an improved water source,41,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_IMP,250161010,I,408005,1408050,Region,Eastern,0,,0,1,WSSRCEHIMP,GHDHS1993408005,1993,DHS,773,773,,,1
GHA,Ashanti,2635631,Households using an improved water source,59.1,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_IMP,250161010,I,408006,1408060,Region,Ashanti,0,,0,1,WSSRCEHIMP,GHDHS1993408006,1993,DHS,1079,1079,,,1
GHA,Brong-Ahafo,3474221,Households using an improved water source,44.7,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_IMP,250161010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,WSSRCEHIMP,GHDHS1993408007,1993,DHS,586,586,,,1
GHA,"Northern, Upper West, Upper East",2299468,Households using an improved water source,52.3,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_IMP,250161010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,WSSRCEHIMP,GHDHS1993408008,1993,DHS,952,952,,,
GHA,Northern (pre 2022),5861009,Households using an improved water source,36.3,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_IMP,250161010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,WSSRCEHIMP,GHDHS1993408009,1993,DHS,468,468,,,1
GHA,Upper West,5057731,Households using an improved water source,59.2,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_IMP,250161010,I,408010,1408100,Region,..Upper West,0,,0,1,WSSRCEHIMP,GHDHS1993408010,1993,DHS,174,174,,,1
GHA,Upper East,1855554,Households using an improved water source,72.6,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_IMP,250161010,I,408011,1408110,Region,..Upper East,0,,0,1,WSSRCEHIMP,GHDHS1993408011,1993,DHS,310,310,,,1
GHA,Western (pre 2022),1842563,Households using water piped into dwelling,11.7,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_PIP,250161020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,WSSRCEHPIP,GHDHS1993408001,1993,DHS,545,545,,,1
GHA,Central,7100921,Households using water piped into dwelling,9.7,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_PIP,250161020,I,408002,1408020,Region,Central,0,,0,1,WSSRCEHPIP,GHDHS1993408002,1993,DHS,670,670,,,1
GHA,Greater Accra,5005065,Households using water piped into dwelling,51.6,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_PIP,250161020,I,408003,1408030,Region,Greater Accra,0,,0,1,WSSRCEHPIP,GHDHS1993408003,1993,DHS,698,698,,,1
GHA,Volta (pre 2022),1855474,Households using water piped into dwelling,2.7,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_PIP,250161020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,WSSRCEHPIP,GHDHS1993408004,1993,DHS,519,519,,,1
GHA,Eastern,2471595,Households using water piped into dwelling,9.3,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_PIP,250161020,I,408005,1408050,Region,Eastern,0,,0,1,WSSRCEHPIP,GHDHS1993408005,1993,DHS,773,773,,,1
GHA,Ashanti,2635634,Households using water piped into dwelling,17.4,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_PIP,250161020,I,408006,1408060,Region,Ashanti,0,,0,1,WSSRCEHPIP,GHDHS1993408006,1993,DHS,1079,1079,,,1
GHA,Brong-Ahafo,3474214,Households using water piped into dwelling,4.1,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_PIP,250161020,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,WSSRCEHPIP,GHDHS1993408007,1993,DHS,586,586,,,1
GHA,"Northern, Upper West, Upper East",2299539,Households using water piped into dwelling,6.7,1,GH,Ghana,1993,GH1993DHS,WS_SRCE_H_PIP,250161020,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,WSSRCEHPIP,GHDHS1993408008,1993,DHS,952,952,,,
